17:37:23.091 XYZ [[3.42, 6.05, 1.92], [0.66, 3.81, 1.82], [0.71, 4.73, 1.81], [4.18, 2.46, 1.28], [2.22, 3.04, 1.54], [1.27, 3.11, 1.54], [5.13, 6.29, 1.61], [4.2, 3.97, 2.14], [3.77, 3.48, 1.73], [2.07, 6.05, 1.94]]
17:37:23.174 XYZ [[3.45, 6.05, 1.92], [0.65, 3.82, 1.81], [0.66, 4.68, 1.79], [4.31, 2.46, 1.26], [2.23, 3.08, 1.5], [1.25, 3.1, 1.53], [5.18, 6.31, 1.61], [4.19, 4.0, 2.15], [3.78, 3.48, 1.73], [2.04, 6.07, 1.91]]
17:37:23.258 XYZ [[3.48, 6.04, 1.93], [0.65, 3.84, 1.8], [0.63, 4.65, 1.79], [4.47, 2.46, 1.2], [2.24, 3.09, 1.5], [1.23, 3.06, 1.52], [5.29, 6.35, 1.62], [4.19, 4.01, 2.16], [3.78, 3.48, 1.74], [2.0, 6.08, 1.93]]
17:37:23.341 XYZ [[3.5, 6.05, 1.92], [0.79, 3.64, 1.81], [0.68, 4.6, 1.8], [4.5, 2.5, 1.19], [2.26, 3.1, 1.46], [1.22, 3.04, 1.51], [5.34, 6.4, 1.63], [4.16, 4.04, 2.13], [3.83, 3.5, 1.74], [1.97, 6.1, 1.92]]
17:37:23.425 XYZ [[3.51, 6.04, 1.93], [0.94, 3.59, 1.8], [0.72, 4.58, 1.79], [4.65, 2.5, 1.21], [2.24, 3.1, 1.47], [1.21, 3.02, 1.52], [5.38, 6.43, 1.63], [4.17, 4.12, 2.09], [3.87, 3.48, 1.75], [1.98, 6.16, 1.91]]
17:37:23.508 XYZ [[3.53, 6.07, 1.99], [1.12, 3.35, 1.61], [0.7, 4.55, 1.77], [4.74, 2.56, 1.21], [2.31, 3.07, 1.42], [1.24, 2.91, 1.48], [5.44, 6.4, 1.67], [4.16, 4.13, 2.1], [3.9, 3.41, 1.86], [1.97, 6.18, 1.93]]
17:37:23.591 XYZ [[3.53, 6.09, 1.98], [1.2, 3.26, 1.44], [0.63, 4.52, 1.7], [4.77, 2.61, 1.19], [2.33, 3.04, 1.4], [1.18, 2.88, 1.46], [5.47, 6.43, 1.63], [4.17, 4.17, 2.08], [3.89, 3.36, 1.76], [1.96, 6.18, 1.91]]
17:37:23.675 XYZ [[3.56, 6.1, 1.98], [1.22, 3.28, 1.39], [0.63, 4.53, 1.68], [4.89, 2.7, 1.2], [2.39, 3.05, 1.35], [1.18, 2.85, 1.45], [5.59, 6.49, 1.64], [4.16, 4.18, 2.1], [3.91, 3.36, 1.74], [1.97, 6.2, 1.89]]
17:37:23.758 XYZ [[3.51, 6.11, 2.09], [1.15, 3.27, 1.49], [0.64, 4.48, 1.65], [4.92, 2.78, 1.2], [2.4, 3.03, 1.37], [1.19, 2.82, 1.48], [5.69, 6.55, 1.62], [4.13, 4.16, 2.06], [3.91, 3.39, 1.73], [1.97, 6.23, 1.88]]
17:37:23.842 XYZ [[3.44, 6.07, 2.03], [1.26, 3.32, 1.59], [0.63, 4.42, 1.64], [4.96, 2.81, 1.17], [2.39, 3.03, 1.37], [1.22, 2.78, 1.52], [5.82, 6.59, 1.6], [4.13, 4.16, 2.1], [3.9, 3.4, 1.69], [1.96, 6.23, 1.9]]
