20:22:25.904 XYZ [[1.14, 3.54, 1.57], [2.76, 3.24, 1.33], [2.73, 4.51, 1.53], [1.39, 3.86, 1.25], [0.0, 0.0, 0.0], [2.43, 3.02, 1.07]]
20:22:25.987 XYZ [[1.13, 3.59, 1.59], [2.78, 3.19, 1.34], [2.82, 4.53, 1.49], [1.42, 3.95, 1.22], [0.0, 0.0, 0.0], [2.45, 2.96, 1.04]]
20:22:26.071 XYZ [[1.13, 3.66, 1.59], [2.78, 3.15, 1.34], [2.85, 4.53, 1.48], [1.41, 4.03, 1.19], [0.0, 0.0, 0.0], [2.44, 2.93, 1.02]]
20:22:26.154 XYZ [[1.15, 3.67, 1.58], [2.78, 3.08, 1.39], [2.95, 4.54, 1.48], [1.4, 4.07, 1.2], [0.0, 0.0, 0.0], [2.42, 2.87, 0.95]]
20:22:26.238 XYZ [[1.14, 3.75, 1.58], [2.76, 3.02, 1.4], [3.01, 4.54, 1.49], [1.42, 4.16, 1.14], [0.0, 0.0, 0.0], [2.4, 2.84, 0.93]]
20:22:26.321 XYZ [[1.16, 3.77, 1.58], [2.74, 2.97, 1.41], [3.12, 4.56, 1.49], [1.45, 4.29, 1.06], [0.0, 0.0, 0.0], [2.38, 2.77, 0.95]]
20:22:26.405 XYZ [[1.17, 3.84, 1.57], [2.63, 2.92, 1.38], [3.21, 4.55, 1.52], [1.46, 4.34, 1.01], [0.0, 0.0, 0.0], [2.33, 2.7, 0.97]]
20:22:26.488 XYZ [[1.18, 3.9, 1.54], [2.57, 2.86, 1.38], [3.28, 4.53, 1.53], [1.47, 4.38, 0.91], [0.0, 0.0, 0.0], [2.27, 2.63, 0.97]]
20:22:26.572 XYZ [[1.17, 3.93, 1.52], [2.56, 2.85, 1.35], [3.28, 4.51, 1.53], [1.49, 4.41, 0.89], [0.0, 0.0, 0.0], [2.24, 2.6, 0.97]]
20:22:26.655 XYZ [[1.14, 4.0, 1.54], [2.53, 2.84, 1.39], [3.31, 4.48, 1.52], [1.46, 4.47, 0.87], [0.0, 0.0, 0.0], [2.2, 2.54, 0.96]]
20:22:26.739 XYZ [[1.14, 4.06, 1.56], [2.51, 2.83, 1.41], [3.34, 4.43, 1.49], [1.45, 4.53, 0.87], [0.0, 0.0, 0.0], [2.2, 2.51, 0.95]]
20:22:26.822 XYZ [[1.15, 4.13, 1.57], [2.49, 2.83, 1.44], [3.37, 4.39, 1.49], [1.45, 4.58, 0.9], [0.0, 0.0, 0.0], [2.19, 2.49, 0.96]]
20:22:26.906 XYZ [[1.16, 4.16, 1.57], [2.49, 2.79, 1.42], [3.37, 4.39, 1.49], [1.46, 4.59, 0.91], [0.0, 0.0, 0.0], [2.13, 2.43, 0.92]]
20:22:26.990 XYZ [[1.19, 4.23, 1.56], [2.49, 2.74, 1.43], [3.46, 4.27, 1.49], [1.47, 4.62, 0.92], [0.0, 0.0, 0.0], [2.14, 2.4, 0.9]]
20:22:27.073 XYZ [[1.21, 4.27, 1.55], [2.51, 2.7, 1.43], [3.5, 4.19, 1.52], [1.49, 4.72, 0.9], [0.0, 0.0, 0.0], [2.1, 2.33, 0.85]]
20:22:27.157 XYZ [[1.23, 4.35, 1.54], [2.54, 2.64, 1.44], [3.56, 4.12, 1.54], [1.49, 4.75, 0.92], [0.0, 0.0, 0.0], [2.12, 2.29, 0.84]]
20:22:27.242 XYZ [[1.22, 4.45, 1.55], [2.57, 2.57, 1.48], [3.6, 4.05, 1.54], [1.48, 4.81, 0.9], [0.0, 0.0, 0.0], [2.12, 2.24, 0.86]]
20:22:27.326 XYZ [[1.23, 4.53, 1.52], [2.59, 2.51, 1.5], [3.61, 4.02, 1.54], [1.51, 4.87, 0.87], [0.0, 0.0, 0.0], [2.11, 2.2, 0.86]]
