00:29:21.408 XYZ [[2.0, 3.47, 1.81], [2.63, 4.28, 1.42], [1.02, 2.2, 1.95], [2.28, 2.68, 1.43], [0.0, 0.0, 0.0], [3.14, 4.49, 1.56], [1.62, 0.9, 1.59], [2.83, 1.56, 1.71], [3.4, 2.63, 1.74], [1.3, 3.04, 1.61]]
00:29:21.492 XYZ [[1.99, 3.48, 1.81], [2.66, 4.25, 1.46], [1.0, 2.2, 1.95], [2.27, 2.69, 1.42], [0.0, 0.0, 0.0], [3.13, 4.47, 1.54], [1.65, 0.93, 1.6], [2.85, 1.52, 1.67], [3.36, 2.61, 1.72], [1.27, 3.03, 1.57]]
00:29:21.575 XYZ [[1.95, 3.5, 1.82], [2.67, 4.25, 1.48], [1.02, 2.21, 1.93], [2.2, 2.74, 1.45], [0.0, 0.0, 0.0], [3.13, 4.47, 1.53], [1.66, 0.94, 1.62], [2.87, 1.51, 1.66], [3.33, 2.63, 1.72], [1.26, 3.02, 1.56]]
00:29:21.669 XYZ [[1.92, 3.53, 1.81], [2.71, 4.22, 1.49], [1.04, 2.23, 1.91], [2.13, 2.78, 1.45], [0.0, 0.0, 0.0], [3.13, 4.47, 1.5], [1.66, 1.0, 1.63], [2.95, 1.52, 1.65], [3.29, 2.63, 1.72], [1.21, 3.0, 1.55]]
00:29:21.753 XYZ [[1.92, 3.57, 1.81], [2.69, 4.2, 1.49], [0.98, 2.24, 1.93], [2.06, 2.83, 1.45], [0.0, 0.0, 0.0], [3.14, 4.46, 1.48], [1.64, 1.07, 1.62], [3.03, 1.52, 1.63], [3.26, 2.64, 1.69], [1.16, 2.98, 1.53]]
00:29:21.836 XYZ [[1.91, 3.59, 1.81], [2.65, 4.2, 1.46], [0.95, 2.26, 1.95], [2.03, 2.84, 1.44], [0.0, 0.0, 0.0], [3.16, 4.45, 1.48], [1.59, 1.11, 1.63], [3.06, 1.52, 1.63], [3.24, 2.67, 1.66], [1.13, 2.97, 1.51]]
00:29:21.920 XYZ [[1.9, 3.61, 1.83], [2.64, 4.18, 1.47], [0.92, 2.27, 1.96], [1.94, 2.9, 1.44], [0.0, 0.0, 0.0], [3.16, 4.44, 1.47], [1.58, 1.11, 1.63], [3.15, 1.53, 1.67], [3.19, 2.7, 1.6], [1.1, 2.96, 1.49]]
00:29:22.003 XYZ [[1.89, 3.64, 1.86], [2.67, 4.16, 1.5], [0.89, 2.29, 1.96], [1.88, 2.94, 1.46], [0.0, 0.0, 0.0], [3.17, 4.43, 1.48], [1.51, 1.11, 1.63], [3.21, 1.53, 1.66], [3.18, 2.7, 1.59], [1.09, 2.99, 1.51]]
00:29:22.087 XYZ [[1.89, 3.65, 1.88], [2.63, 4.12, 1.55], [0.87, 2.29, 1.96], [1.75, 2.99, 1.5], [0.0, 0.0, 0.0], [3.17, 4.42, 1.5], [1.44, 1.08, 1.64], [3.24, 1.53, 1.64], [3.15, 2.7, 1.57], [1.05, 3.02, 1.54]]
00:29:22.171 XYZ [[1.88, 3.66, 1.89], [2.6, 4.1, 1.57], [0.82, 2.28, 1.94], [1.67, 3.04, 1.51], [0.0, 0.0, 0.0], [3.18, 4.41, 1.49], [1.44, 1.07, 1.64], [3.29, 1.52, 1.68], [3.15, 2.68, 1.59], [1.04, 3.03, 1.53]]
00:29:22.254 XYZ [[1.9, 3.65, 1.88], [2.57, 4.09, 1.57], [0.79, 2.29, 1.94], [1.61, 3.11, 1.5], [0.0, 0.0, 0.0], [3.19, 4.41, 1.5], [1.42, 1.02, 1.64], [3.34, 1.52, 1.67], [3.17, 2.64, 1.57], [0.98, 3.07, 1.58]]
00:29:22.338 XYZ [[1.93, 3.64, 1.84], [2.57, 4.09, 1.57], [0.78, 2.29, 1.95], [1.6, 3.16, 1.52], [0.0, 0.0, 0.0], [3.2, 4.42, 1.52], [1.36, 0.95, 1.62], [3.31, 1.48, 1.67], [3.16, 2.61, 1.56], [0.93, 3.1, 1.62]]
00:29:22.421 XYZ [[1.95, 3.62, 1.82], [2.55, 4.08, 1.64], [0.74, 2.28, 1.95], [1.58, 3.26, 1.55], [0.0, 0.0, 0.0], [3.2, 4.43, 1.53], [1.35, 0.88, 1.64], [3.34, 1.44, 1.68], [3.19, 2.58, 1.56], [0.9, 3.15, 1.66]]
00:29:22.505 XYZ [[1.99, 3.61, 1.79], [2.54, 4.09, 1.64], [0.71, 2.26, 1.9], [1.54, 3.36, 1.57], [0.0, 0.0, 0.0], [3.21, 4.46, 1.53], [1.33, 0.85, 1.66], [3.36, 1.42, 1.7], [3.22, 2.55, 1.55], [0.89, 3.16, 1.69]]
