19:38:23.321 XYZ [[4.14, 0.89, 1.3], [4.21, 4.86, 1.57], [4.24, 6.01, 1.59], [3.8, 3.76, 1.73], [3.89, 2.31, 1.37]]
19:38:23.405 XYZ [[4.13, 0.92, 1.33], [4.22, 4.87, 1.58], [4.21, 6.04, 1.62], [3.8, 3.77, 1.71], [3.91, 2.37, 1.35]]
19:38:23.489 XYZ [[4.13, 0.91, 1.32], [4.22, 4.87, 1.6], [4.2, 6.03, 1.6], [3.81, 3.77, 1.69], [3.94, 2.4, 1.37]]
19:38:23.572 XYZ [[4.13, 0.91, 1.33], [4.22, 4.87, 1.59], [4.22, 6.02, 1.59], [3.8, 3.78, 1.66], [3.95, 2.4, 1.39]]
19:38:23.656 XYZ [[4.14, 0.92, 1.34], [4.21, 4.86, 1.59], [4.23, 6.02, 1.56], [3.79, 3.78, 1.65], [3.96, 2.42, 1.38]]
19:38:23.739 XYZ [[4.13, 0.95, 1.37], [4.2, 4.86, 1.6], [4.21, 6.01, 1.55], [3.81, 3.77, 1.66], [3.97, 2.44, 1.38]]
19:38:23.823 XYZ [[4.14, 0.95, 1.35], [4.2, 4.87, 1.62], [4.22, 6.01, 1.54], [3.83, 3.75, 1.62], [3.95, 2.44, 1.38]]
19:38:23.906 XYZ [[4.16, 0.93, 1.36], [4.2, 4.87, 1.62], [4.22, 6.01, 1.52], [3.86, 3.72, 1.63], [3.95, 2.44, 1.39]]
19:38:23.989 XYZ [[4.16, 0.92, 1.37], [4.19, 4.87, 1.62], [4.22, 6.02, 1.5], [3.88, 3.71, 1.63], [3.96, 2.45, 1.37]]
19:38:24.073 XYZ [[4.16, 0.94, 1.37], [4.18, 4.87, 1.61], [4.2, 6.01, 1.47], [3.87, 3.66, 1.61], [3.97, 2.45, 1.37]]
19:38:24.156 XYZ [[4.14, 0.95, 1.36], [4.17, 4.86, 1.59], [4.17, 6.04, 1.44], [3.86, 3.62, 1.59], [3.96, 2.44, 1.36]]
19:38:24.240 XYZ [[4.14, 0.95, 1.34], [4.17, 4.86, 1.59], [4.14, 6.03, 1.46], [3.86, 3.6, 1.59], [3.96, 2.43, 1.37]]
19:38:24.323 XYZ [[4.14, 0.94, 1.33], [4.19, 4.89, 1.59], [4.14, 6.03, 1.47], [3.85, 3.58, 1.6], [3.97, 2.42, 1.4]]
19:38:24.407 XYZ [[4.13, 0.93, 1.34], [4.18, 4.89, 1.59], [4.14, 6.06, 1.47], [3.83, 3.57, 1.59], [3.96, 2.41, 1.41]]
19:38:24.494 XYZ [[4.12, 0.93, 1.33], [4.18, 4.87, 1.59], [4.14, 6.05, 1.49], [3.82, 3.58, 1.6], [3.93, 2.38, 1.42]]
19:38:24.578 XYZ [[4.11, 0.93, 1.33], [4.19, 4.86, 1.59], [4.14, 6.05, 1.51], [3.78, 3.59, 1.6], [3.92, 2.37, 1.41]]
19:38:24.661 XYZ [[4.09, 0.93, 1.36], [4.2, 4.86, 1.59], [4.15, 6.05, 1.5], [3.77, 3.63, 1.61], [3.89, 2.33, 1.42]]
19:38:24.745 XYZ [[4.07, 0.96, 1.36], [4.17, 4.84, 1.6], [4.15, 6.03, 1.49], [3.75, 3.65, 1.6], [3.85, 2.32, 1.42]]
19:38:24.828 XYZ [[4.08, 0.96, 1.35], [4.18, 4.8, 1.63], [4.14, 6.01, 1.48], [3.71, 3.66, 1.58], [3.82, 2.3, 1.42]]
19:38:24.912 XYZ [[4.05, 0.97, 1.37], [4.17, 4.79, 1.63], [4.11, 5.99, 1.49], [3.67, 3.71, 1.57], [3.75, 2.27, 1.42]]
19:38:24.995 XYZ [[4.02, 0.97, 1.35], [4.15, 4.75, 1.66], [4.08, 5.98, 1.47], [3.66, 3.73, 1.56], [3.7, 2.27, 1.38]]
19:38:25.079 XYZ [[4.01, 0.98, 1.35], [4.14, 4.73, 1.66], [4.07, 5.98, 1.48], [3.64, 3.79, 1.51], [3.69, 2.28, 1.39]]
19:38:25.162 XYZ [[3.94, 0.99, 1.35], [4.13, 4.72, 1.67], [4.05, 5.97, 1.49], [3.63, 3.83, 1.46], [3.61, 2.3, 1.36]]
19:38:25.246 XYZ [[3.88, 1.01, 1.35], [4.09, 4.7, 1.66], [4.01, 5.95, 1.52], [3.61, 3.86, 1.41], [3.53, 2.34, 1.37]]
19:38:25.329 XYZ [[3.83, 1.02, 1.35], [4.06, 4.71, 1.68], [4.01, 5.96, 1.54], [3.61, 3.87, 1.4], [3.48, 2.35, 1.36]]
19:38:25.412 XYZ [[3.75, 1.02, 1.34], [4.03, 4.75, 1.64], [3.95, 5.99, 1.58], [3.58, 3.88, 1.39], [3.43, 2.37, 1.38]]
19:38:25.496 XYZ [[3.66, 1.04, 1.38], [3.99, 4.75, 1.6], [3.88, 6.02, 1.62], [3.57, 3.87, 1.37], [3.36, 2.41, 1.37]]
19:38:25.579 XYZ [[3.58, 1.04, 1.38], [3.99, 4.75, 1.58], [3.84, 6.02, 1.64], [3.54, 3.88, 1.36], [3.33, 2.42, 1.36]]
