19:49:25.210 XYZ [[1.35, 5.93, 1.4], [3.68, 5.51, 1.56], [1.76, 3.98, 1.32], [3.31, 4.6, 1.75]]
19:49:25.293 XYZ [[1.41, 5.92, 1.39], [3.78, 5.43, 1.54], [1.71, 3.99, 1.31], [3.26, 4.58, 1.77]]
19:49:25.377 XYZ [[1.44, 5.91, 1.4], [3.85, 5.38, 1.56], [1.65, 3.99, 1.35], [3.22, 4.56, 1.7]]
19:49:25.460 XYZ [[1.47, 5.9, 1.38], [3.93, 5.3, 1.5], [1.63, 3.99, 1.36], [3.21, 4.53, 1.69]]
19:49:25.544 XYZ [[1.49, 5.89, 1.38], [3.97, 5.27, 1.47], [1.59, 3.98, 1.36], [3.17, 4.47, 1.64]]
19:49:25.627 XYZ [[1.5, 5.87, 1.37], [4.05, 5.15, 1.49], [1.57, 3.99, 1.36], [3.14, 4.43, 1.62]]
19:49:25.711 XYZ [[1.53, 5.83, 1.29], [4.04, 5.1, 1.5], [1.56, 3.98, 1.38], [3.06, 4.36, 1.59]]
19:49:25.794 XYZ [[1.57, 5.82, 1.3], [4.06, 5.05, 1.48], [1.54, 3.98, 1.39], [3.02, 4.33, 1.58]]
19:49:25.878 XYZ [[1.61, 5.81, 1.28], [4.16, 5.0, 1.43], [1.51, 3.97, 1.39], [2.93, 4.3, 1.5]]
19:49:25.961 XYZ [[1.66, 5.78, 1.31], [4.12, 4.97, 1.41], [1.49, 3.95, 1.39], [2.88, 4.3, 1.48]]
19:49:26.045 XYZ [[1.71, 5.78, 1.34], [4.06, 4.98, 1.33], [1.48, 3.91, 1.4], [2.83, 4.28, 1.48]]
19:49:26.128 XYZ [[1.73, 5.76, 1.31], [4.0, 4.94, 1.31], [1.45, 3.85, 1.44], [2.77, 4.32, 1.45]]
19:49:26.211 XYZ [[1.76, 5.81, 1.4], [4.02, 4.87, 1.38], [1.41, 3.81, 1.45], [2.7, 4.34, 1.47]]
19:49:26.295 XYZ [[1.79, 5.83, 1.4], [3.99, 4.85, 1.35], [1.38, 3.77, 1.46], [2.61, 4.36, 1.45]]
19:49:26.378 XYZ [[1.84, 5.85, 1.41], [3.93, 4.8, 1.35], [1.34, 3.72, 1.47], [2.56, 4.36, 1.44]]
19:49:26.468 XYZ [[1.89, 5.89, 1.44], [3.89, 4.74, 1.43], [1.29, 3.68, 1.48], [2.47, 4.37, 1.47]]
19:49:26.551 XYZ [[1.92, 5.91, 1.46], [3.88, 4.72, 1.42], [1.26, 3.63, 1.46], [2.4, 4.38, 1.46]]
19:49:26.634 XYZ [[1.99, 5.95, 1.5], [3.86, 4.68, 1.44], [1.19, 3.57, 1.47], [2.29, 4.38, 1.46]]
19:49:26.718 XYZ [[2.03, 5.98, 1.53], [3.83, 4.58, 1.45], [1.13, 3.5, 1.47], [2.25, 4.37, 1.46]]
19:49:26.801 XYZ [[2.05, 5.99, 1.54], [3.79, 4.53, 1.44], [1.11, 3.47, 1.47], [2.13, 4.31, 1.45]]
19:49:26.885 XYZ [[2.08, 6.01, 1.55], [3.68, 4.48, 1.32], [1.03, 3.4, 1.46], [1.97, 4.29, 1.43]]
19:49:26.968 XYZ [[2.1, 6.04, 1.55], [3.55, 4.42, 1.32], [0.97, 3.34, 1.48], [1.93, 4.26, 1.43]]
19:49:27.052 XYZ [[2.1, 6.06, 1.58], [3.48, 4.4, 1.32], [0.93, 3.31, 1.49], [1.85, 4.22, 1.34]]
19:49:27.135 XYZ [[2.17, 6.06, 1.6], [3.33, 4.4, 1.29], [0.9, 3.23, 1.49], [1.79, 4.16, 1.27]]
19:49:27.219 XYZ [[2.19, 6.07, 1.57], [3.24, 4.37, 1.32], [0.89, 3.19, 1.5], [1.74, 4.13, 1.24]]
