20:40:23.343 XYZ [[1.12, 0.27, 1.75], [3.7, 3.03, 1.49], [2.32, 4.47, 1.51], [1.05, 0.83, 1.23], [2.13, 4.33, 0.65], [3.53, 3.59, 1.28]]
20:40:23.426 XYZ [[1.12, 0.29, 1.76], [3.7, 3.08, 1.49], [2.28, 4.39, 1.49], [1.09, 0.89, 1.26], [2.05, 4.29, 0.64], [3.56, 3.67, 1.29]]
20:40:23.510 XYZ [[1.13, 0.31, 1.78], [3.71, 3.15, 1.48], [2.22, 4.32, 1.48], [1.11, 0.91, 1.26], [2.01, 4.21, 0.63], [3.56, 3.67, 1.29]]
20:40:23.593 XYZ [[1.18, 0.33, 1.79], [3.75, 3.23, 1.49], [2.17, 4.29, 1.45], [1.16, 0.91, 1.23], [1.96, 4.08, 0.65], [3.58, 3.79, 1.27]]
20:40:23.677 XYZ [[1.16, 0.31, 1.79], [3.76, 3.26, 1.5], [2.11, 4.22, 1.45], [1.18, 0.9, 1.2], [1.93, 4.02, 0.69], [3.61, 3.86, 1.26]]
20:40:23.760 XYZ [[1.15, 0.34, 1.79], [3.79, 3.33, 1.51], [2.05, 4.16, 1.45], [1.19, 0.89, 1.19], [1.88, 3.91, 0.7], [3.6, 3.93, 1.26]]
20:40:23.844 XYZ [[1.16, 0.36, 1.78], [3.82, 3.41, 1.54], [2.04, 4.13, 1.47], [1.25, 0.93, 1.21], [1.83, 3.84, 0.73], [3.62, 3.99, 1.27]]
20:40:23.927 XYZ [[1.13, 0.37, 1.81], [3.83, 3.44, 1.54], [1.98, 4.11, 1.45], [1.27, 0.95, 1.22], [1.78, 3.79, 0.74], [3.68, 4.04, 1.2]]
20:40:24.011 XYZ [[1.13, 0.39, 1.77], [3.83, 3.5, 1.54], [1.92, 4.06, 1.42], [1.29, 0.99, 1.22], [1.74, 3.72, 0.68], [3.73, 4.11, 1.19]]
20:40:24.094 XYZ [[1.13, 0.38, 1.76], [3.83, 3.56, 1.55], [1.87, 4.03, 1.39], [1.34, 1.0, 1.2], [1.62, 3.66, 0.66], [3.7, 4.14, 1.17]]
20:40:24.177 XYZ [[1.12, 0.39, 1.74], [3.83, 3.6, 1.56], [1.79, 4.05, 1.4], [1.37, 1.0, 1.19], [1.56, 3.63, 0.66], [3.72, 4.21, 1.15]]
20:40:24.261 XYZ [[1.09, 0.37, 1.67], [3.83, 3.67, 1.58], [1.77, 4.03, 1.4], [1.38, 0.99, 1.2], [1.43, 3.57, 0.69], [3.72, 4.25, 1.11]]
20:40:24.344 XYZ [[1.06, 0.37, 1.6], [3.83, 3.73, 1.59], [1.7, 4.01, 1.41], [1.41, 0.98, 1.17], [1.43, 3.57, 0.69], [3.71, 4.26, 1.04]]
20:40:24.428 XYZ [[1.04, 0.37, 1.56], [3.82, 3.76, 1.59], [1.68, 3.95, 1.44], [1.44, 0.99, 1.16], [1.21, 3.5, 0.72], [3.77, 4.26, 1.05]]
20:40:24.511 XYZ [[1.06, 0.39, 1.54], [3.8, 3.82, 1.55], [1.66, 3.86, 1.41], [1.45, 0.98, 1.15], [1.07, 3.42, 0.72], [3.76, 4.32, 1.02]]
20:40:24.595 XYZ [[1.04, 0.38, 1.49], [3.8, 3.88, 1.56], [1.68, 3.84, 1.44], [1.47, 0.97, 1.16], [0.93, 3.34, 0.72], [3.73, 4.36, 1.01]]
20:40:24.678 XYZ [[1.04, 0.38, 1.45], [3.78, 3.91, 1.57], [1.72, 3.79, 1.47], [1.47, 0.97, 1.16], [0.86, 3.29, 0.7], [3.66, 4.46, 1.0]]
20:40:24.762 XYZ [[1.05, 0.36, 1.41], [3.76, 3.97, 1.57], [1.78, 3.64, 1.41], [1.48, 0.96, 1.15], [1.74, 3.24, 0.82], [3.66, 4.52, 1.02]]
20:40:24.845 XYZ [[1.04, 0.35, 1.38], [3.74, 4.04, 1.56], [1.81, 3.6, 1.41], [1.48, 0.96, 1.13], [2.04, 3.16, 0.95], [3.61, 4.63, 1.06]]
20:40:24.928 XYZ [[1.02, 0.36, 1.37], [3.71, 4.07, 1.55], [1.84, 3.5, 1.44], [1.5, 0.97, 1.16], [2.22, 3.1, 0.95], [3.57, 4.74, 1.12]]
20:40:25.012 XYZ [[1.02, 0.37, 1.32], [3.7, 4.13, 1.53], [1.87, 3.43, 1.47], [1.49, 0.99, 1.17], [2.21, 3.06, 0.93], [3.51, 4.83, 1.17]]
20:40:25.095 XYZ [[1.03, 0.42, 1.32], [3.7, 4.2, 1.53], [1.9, 3.4, 1.49], [1.49, 1.05, 1.18], [2.24, 3.03, 0.91], [3.48, 4.87, 1.21]]
20:40:25.179 XYZ [[1.04, 0.46, 1.32], [3.7, 4.23, 1.54], [1.93, 3.3, 1.5], [1.51, 1.08, 1.19], [2.23, 2.97, 0.92], [3.43, 4.96, 1.24]]
20:40:25.262 XYZ [[1.07, 0.52, 1.32], [3.73, 4.3, 1.55], [1.91, 3.21, 1.49], [1.51, 1.08, 1.19], [2.22, 2.93, 0.91], [3.36, 5.04, 1.23]]
20:40:25.346 XYZ [[1.09, 0.56, 1.34], [3.74, 4.38, 1.55], [1.91, 3.16, 1.46], [1.54, 1.17, 1.21], [2.21, 2.89, 0.87], [3.32, 5.07, 1.26]]
20:40:25.429 XYZ [[1.12, 0.59, 1.36], [3.75, 4.42, 1.54], [1.93, 3.06, 1.43], [1.53, 1.21, 1.23], [2.2, 2.87, 0.84], [3.28, 5.1, 1.29]]
20:40:25.513 XYZ [[1.11, 0.62, 1.37], [3.76, 4.51, 1.54], [1.95, 2.96, 1.4], [1.52, 1.24, 1.24], [2.21, 2.81, 0.85], [3.26, 5.12, 1.27]]
20:40:25.596 XYZ [[1.08, 0.66, 1.38], [3.76, 4.59, 1.53], [1.95, 2.93, 1.38], [1.52, 1.29, 1.25], [2.24, 2.76, 0.84], [3.2, 5.15, 1.3]]
