20:31:25.321 XYZ [[2.78, 5.19, 1.58], [1.56, 3.9, 1.56], [3.76, 2.94, 1.62], [2.17, 5.24, 1.02], [1.67, 3.83, 0.87], [0.0, 0.0, 0.0]]
20:31:25.404 XYZ [[2.68, 5.19, 1.57], [1.54, 3.86, 1.55], [3.78, 2.94, 1.61], [2.1, 5.15, 1.06], [1.66, 3.74, 0.88], [0.0, 0.0, 0.0]]
20:31:25.488 XYZ [[2.67, 5.19, 1.56], [1.51, 3.78, 1.53], [3.83, 2.96, 1.58], [2.09, 5.09, 1.05], [1.65, 3.7, 0.87], [0.0, 0.0, 0.0]]
20:31:25.571 XYZ [[2.61, 5.2, 1.55], [1.47, 3.72, 1.51], [3.92, 2.96, 1.57], [2.08, 5.0, 1.03], [1.64, 3.63, 0.87], [0.0, 0.0, 0.0]]
20:31:25.655 XYZ [[2.58, 5.2, 1.61], [1.45, 3.7, 1.5], [3.94, 3.01, 1.54], [2.06, 4.96, 1.03], [1.59, 3.56, 0.84], [0.0, 0.0, 0.0]]
20:31:25.738 XYZ [[2.53, 5.18, 1.58], [1.39, 3.65, 1.46], [3.97, 3.02, 1.52], [2.07, 4.84, 1.01], [1.56, 3.53, 0.83], [0.0, 0.0, 0.0]]
20:31:25.822 XYZ [[2.52, 5.2, 1.59], [1.31, 3.6, 1.44], [3.96, 3.08, 1.53], [2.07, 4.74, 0.98], [1.52, 3.47, 0.86], [0.0, 0.0, 0.0]]
20:31:25.905 XYZ [[2.59, 5.1, 1.63], [1.28, 3.56, 1.44], [4.0, 3.17, 1.56], [2.07, 4.69, 0.96], [1.48, 3.39, 0.86], [0.0, 0.0, 0.0]]
20:31:25.989 XYZ [[2.62, 4.97, 1.59], [1.23, 3.48, 1.44], [4.02, 3.2, 1.57], [2.08, 4.62, 0.96], [1.44, 3.32, 0.85], [0.0, 0.0, 0.0]]
20:31:26.072 XYZ [[2.64, 4.93, 1.57], [1.22, 3.38, 1.43], [4.02, 3.27, 1.58], [2.1, 4.51, 0.94], [1.42, 3.28, 0.87], [0.0, 0.0, 0.0]]
20:31:26.156 XYZ [[2.68, 4.85, 1.59], [1.19, 3.32, 1.39], [3.99, 3.33, 1.59], [2.08, 4.41, 0.96], [1.33, 3.21, 0.92], [0.0, 0.0, 0.0]]
20:31:26.239 XYZ [[2.74, 4.77, 1.56], [1.16, 3.27, 1.39], [3.97, 3.37, 1.57], [2.06, 4.35, 0.96], [1.27, 3.14, 0.91], [0.0, 0.0, 0.0]]
20:31:26.323 XYZ [[2.78, 4.72, 1.53], [1.06, 3.2, 1.38], [3.96, 3.48, 1.45], [2.07, 4.26, 0.97], [1.25, 3.11, 0.9], [0.0, 0.0, 0.0]]
20:31:26.406 XYZ [[2.83, 4.63, 1.51], [1.04, 3.18, 1.37], [3.99, 3.58, 1.45], [2.09, 4.15, 0.96], [1.22, 3.02, 0.91], [0.0, 0.0, 0.0]]
20:31:26.493 XYZ [[2.84, 4.6, 1.48], [0.98, 3.11, 1.39], [3.99, 3.67, 1.47], [2.09, 4.09, 0.97], [1.17, 2.93, 0.9], [0.0, 0.0, 0.0]]
20:31:26.576 XYZ [[2.88, 4.5, 1.46], [0.93, 3.01, 1.39], [4.0, 3.73, 1.47], [2.14, 3.95, 0.93], [1.16, 2.89, 0.9], [0.0, 0.0, 0.0]]
20:31:26.659 XYZ [[2.93, 4.4, 1.47], [0.92, 2.96, 1.39], [4.0, 3.81, 1.46], [2.21, 3.82, 0.93], [1.1, 2.79, 0.87], [0.0, 0.0, 0.0]]
20:31:26.743 XYZ [[2.93, 4.31, 1.49], [0.89, 2.88, 1.4], [4.0, 3.88, 1.44], [2.23, 3.75, 0.91], [1.05, 2.7, 0.85], [0.0, 0.0, 0.0]]
20:31:26.826 XYZ [[2.95, 4.26, 1.5], [0.82, 2.81, 1.39], [3.99, 3.92, 1.4], [2.36, 3.65, 0.89], [1.02, 2.67, 0.85], [0.0, 0.0, 0.0]]
20:31:26.910 XYZ [[2.97, 4.19, 1.51], [0.78, 2.73, 1.37], [4.01, 4.03, 1.36], [2.48, 3.52, 0.89], [0.98, 2.62, 0.84], [0.0, 0.0, 0.0]]
20:31:26.994 XYZ [[2.99, 4.15, 1.51], [0.76, 2.69, 1.37], [4.02, 4.08, 1.33], [2.53, 3.45, 0.89], [0.96, 2.6, 0.82], [0.0, 0.0, 0.0]]
20:31:27.078 XYZ [[3.02, 4.09, 1.52], [0.72, 2.61, 1.36], [4.0, 4.15, 1.3], [2.62, 3.32, 0.88], [0.91, 2.52, 0.81], [0.0, 0.0, 0.0]]
20:31:27.161 XYZ [[3.04, 4.03, 1.51], [0.7, 2.57, 1.36], [3.99, 4.22, 1.27], [2.75, 3.2, 0.87], [0.88, 2.43, 0.79], [0.0, 0.0, 0.0]]
20:31:27.245 XYZ [[3.05, 3.98, 1.52], [0.67, 2.52, 1.37], [3.98, 4.26, 1.25], [2.83, 3.17, 0.87], [0.87, 2.36, 0.82], [0.0, 0.0, 0.0]]
20:31:27.328 XYZ [[3.06, 3.96, 1.53], [0.6, 2.45, 1.4], [3.93, 4.39, 1.22], [2.95, 3.13, 0.82], [0.85, 2.31, 0.84], [0.0, 0.0, 0.0]]
20:31:27.412 XYZ [[3.08, 3.9, 1.55], [0.59, 2.4, 1.4], [3.87, 4.51, 1.23], [3.13, 3.04, 0.79], [0.82, 2.22, 0.85], [0.0, 0.0, 0.0]]
20:31:27.495 XYZ [[3.11, 3.83, 1.55], [0.56, 2.31, 1.42], [3.85, 4.56, 1.21], [3.2, 3.02, 0.82], [0.84, 2.15, 0.87], [0.0, 0.0, 0.0]]
