18:05:21.249 XYZ [[5.36, 5.31, 1.88], [2.37, 3.08, 1.55], [3.57, 6.29, 1.93], [1.72, 4.39, 2.0], [4.47, 2.87, -2.36], [3.33, 2.58, 1.96], [5.72, 4.25, 1.48], [6.1, 3.2, 1.75], [1.82, 3.54, 1.69], [0.64, 5.3, 1.6]]
18:05:21.332 XYZ [[5.33, 5.31, 1.86], [2.37, 3.09, 1.53], [3.55, 6.27, 1.92], [1.71, 4.38, 2.02], [4.45, 2.87, -2.52], [3.31, 2.59, 1.93], [5.69, 4.28, 1.49], [6.18, 3.17, 1.8], [1.83, 3.53, 1.67], [0.54, 5.3, 1.58]]
18:05:21.416 XYZ [[5.3, 5.32, 1.87], [2.35, 3.09, 1.52], [3.55, 6.27, 1.92], [1.72, 4.38, 2.02], [4.43, 2.86, -2.68], [3.31, 2.58, 1.94], [5.68, 4.28, 1.49], [6.18, 3.17, 1.8], [1.82, 3.51, 1.61], [0.48, 5.3, 1.59]]
18:05:21.500 XYZ [[5.27, 5.32, 1.87], [2.32, 3.1, 1.52], [3.57, 6.29, 1.93], [1.71, 4.39, 2.01], [4.43, 3.07, -2.32], [3.31, 2.6, 1.95], [5.68, 4.28, 1.49], [6.17, 3.17, 1.8], [1.84, 3.51, 1.6], [0.37, 5.3, 1.59]]
18:05:21.583 XYZ [[5.29, 5.29, 1.88], [2.3, 3.1, 1.5], [3.58, 6.25, 1.89], [1.72, 4.38, 2.0], [4.55, 3.08, -2.35], [3.3, 2.63, 1.91], [5.67, 4.28, 1.48], [6.15, 3.16, 1.87], [1.78, 3.48, 1.58], [0.26, 5.3, 1.61]]
18:05:21.667 XYZ [[5.24, 5.31, 1.92], [2.29, 3.1, 1.44], [3.56, 6.26, 1.9], [1.72, 4.39, 1.98], [4.36, 3.24, -1.77], [3.25, 2.67, 1.89], [5.67, 4.26, 1.5], [6.04, 3.13, 1.95], [1.75, 3.5, 1.56], [0.16, 5.29, 1.6]]
18:05:21.750 XYZ [[5.21, 5.32, 1.93], [2.29, 3.09, 1.45], [3.56, 6.25, 1.89], [1.72, 4.38, 1.95], [4.21, 3.18, -1.73], [3.25, 2.68, 1.88], [5.67, 4.26, 1.5], [6.01, 3.12, 1.95], [1.68, 3.49, 1.52], [0.11, 5.29, 1.59]]
18:05:21.836 XYZ [[5.22, 5.32, 1.89], [2.29, 3.05, 1.45], [3.58, 6.22, 1.88], [1.68, 4.37, 1.93], [4.03, 3.15, -1.45], [3.24, 2.71, 1.83], [5.67, 4.26, 1.5], [6.02, 3.13, 1.95], [1.6, 3.51, 1.42], [0.0, 5.29, 1.58]]
18:05:21.919 XYZ [[5.24, 5.32, 1.86], [2.29, 3.05, 1.42], [3.56, 6.2, 1.89], [1.69, 4.36, 1.95], [3.93, 3.12, -1.41], [3.23, 2.76, 1.8], [5.66, 4.24, 1.54], [6.03, 3.05, 1.94], [1.51, 3.55, 1.35], [-0.11, 5.3, 1.58]]
18:05:22.003 XYZ [[5.25, 5.31, 1.82], [2.27, 3.04, 1.42], [3.56, 6.19, 1.88], [1.72, 4.34, 1.91], [3.96, 2.93, -0.96], [3.21, 2.79, 1.79], [5.69, 4.25, 1.58], [5.97, 3.06, 1.98], [1.5, 3.55, 1.36], [-0.17, 5.3, 1.58]]
