19:17:18.211 XYZ [[2.3, 4.96, 1.5], [2.41, 2.77, 1.36]]
19:17:25.561 XYZ [[0.0, 0.0, 0.0], [2.34, 6.22, 1.64], [2.31, 4.95, 1.44], [2.25, 2.77, 1.27], [2.27, 3.91, 1.67]]
19:17:25.644 XYZ [[0.0, 0.0, 0.0], [2.33, 6.21, 1.6], [2.3, 4.95, 1.45], [2.25, 2.78, 1.29], [2.26, 3.91, 1.66]]
19:17:25.728 XYZ [[0.0, 0.0, 0.0], [2.33, 6.2, 1.62], [2.29, 4.95, 1.44], [2.26, 2.78, 1.31], [2.27, 3.91, 1.68]]
19:17:25.811 XYZ [[0.0, 0.0, 0.0], [2.34, 6.21, 1.6], [2.28, 4.94, 1.45], [2.27, 2.79, 1.32], [2.27, 3.91, 1.67]]
19:17:25.895 XYZ [[0.0, 0.0, 0.0], [2.33, 6.2, 1.6], [2.29, 4.95, 1.45], [2.27, 2.79, 1.33], [2.26, 3.91, 1.66]]
19:17:25.978 XYZ [[0.0, 0.0, 0.0], [2.34, 6.2, 1.6], [2.3, 4.94, 1.45], [2.28, 2.79, 1.35], [2.26, 3.91, 1.65]]
19:17:26.062 XYZ [[0.0, 0.0, 0.0], [2.32, 6.21, 1.62], [2.3, 4.95, 1.46], [2.29, 2.79, 1.38], [2.27, 3.92, 1.66]]
19:17:26.145 XYZ [[0.0, 0.0, 0.0], [2.32, 6.23, 1.62], [2.3, 4.95, 1.46], [2.29, 2.79, 1.4], [2.27, 3.92, 1.66]]
19:17:26.229 XYZ [[0.0, 0.0, 0.0], [2.34, 6.23, 1.62], [2.31, 4.95, 1.46], [2.28, 2.79, 1.41], [2.27, 3.92, 1.65]]
19:17:26.314 XYZ [[0.0, 0.0, 0.0], [2.32, 6.22, 1.63], [2.31, 4.95, 1.46], [2.27, 2.79, 1.42], [2.26, 3.91, 1.65]]
19:17:26.397 XYZ [[0.0, 0.0, 0.0], [2.32, 6.24, 1.64], [2.3, 4.94, 1.45], [2.26, 2.81, 1.42], [2.27, 3.91, 1.66]]
19:17:26.481 XYZ [[0.0, 0.0, 0.0], [2.33, 6.24, 1.65], [2.32, 4.94, 1.46], [2.28, 2.8, 1.4], [2.28, 3.91, 1.65]]
19:17:26.564 XYZ [[0.0, 0.0, 0.0], [2.32, 6.22, 1.64], [2.32, 4.95, 1.46], [2.26, 2.77, 1.38], [2.28, 3.91, 1.65]]
19:17:26.647 XYZ [[0.0, 0.0, 0.0], [2.34, 6.23, 1.64], [2.32, 4.95, 1.46], [2.27, 2.76, 1.39], [2.28, 3.91, 1.65]]
19:17:26.731 XYZ [[0.0, 0.0, 0.0], [2.35, 6.22, 1.61], [2.31, 4.95, 1.46], [2.26, 2.76, 1.39], [2.28, 3.91, 1.65]]
19:17:26.814 XYZ [[0.0, 0.0, 0.0], [2.35, 6.23, 1.59], [2.33, 4.95, 1.46], [2.22, 2.74, 1.41], [2.28, 3.92, 1.65]]
19:17:26.898 XYZ [[0.0, 0.0, 0.0], [2.35, 6.21, 1.58], [2.32, 4.95, 1.45], [2.22, 2.75, 1.41], [2.3, 3.91, 1.64]]
19:17:26.983 XYZ [[0.0, 0.0, 0.0], [2.34, 6.21, 1.56], [2.31, 4.94, 1.45], [2.25, 2.76, 1.36], [2.3, 3.91, 1.63]]
19:17:27.066 XYZ [[0.0, 0.0, 0.0], [2.34, 6.21, 1.57], [2.32, 4.94, 1.45], [2.25, 2.75, 1.37], [2.3, 3.91, 1.63]]
19:17:27.150 XYZ [[0.0, 0.0, 0.0], [2.34, 6.21, 1.58], [2.32, 4.95, 1.46], [2.25, 2.77, 1.35], [2.3, 3.91, 1.64]]
19:17:27.235 XYZ [[0.0, 0.0, 0.0], [2.33, 6.2, 1.59], [2.33, 4.94, 1.46], [2.24, 2.77, 1.34], [2.3, 3.91, 1.64]]
19:17:27.319 XYZ [[0.0, 0.0, 0.0], [2.31, 6.2, 1.61], [2.33, 4.94, 1.45], [2.24, 2.75, 1.33], [2.3, 3.91, 1.64]]
19:17:27.402 XYZ [[0.0, 0.0, 0.0], [2.32, 6.19, 1.61], [2.33, 4.94, 1.45], [2.24, 2.75, 1.33], [2.3, 3.91, 1.64]]
19:17:27.486 XYZ [[0.0, 0.0, 0.0], [2.32, 6.19, 1.62], [2.33, 4.95, 1.46], [2.23, 2.75, 1.34], [2.3, 3.92, 1.66]]
19:17:27.569 XYZ [[0.0, 0.0, 0.0], [2.33, 6.19, 1.6], [2.33, 4.94, 1.47], [2.24, 2.76, 1.34], [2.3, 3.92, 1.65]]
19:17:27.652 XYZ [[0.0, 0.0, 0.0], [2.34, 6.2, 1.6], [2.33, 4.95, 1.47], [2.24, 2.77, 1.34], [2.3, 3.92, 1.65]]
19:17:27.736 XYZ [[0.0, 0.0, 0.0], [2.32, 6.22, 1.6], [2.33, 4.94, 1.46], [2.23, 2.77, 1.35], [2.29, 3.92, 1.66]]
19:17:27.819 XYZ [[0.0, 0.0, 0.0], [2.31, 6.19, 1.58], [2.33, 4.93, 1.45], [2.26, 2.77, 1.35], [2.3, 3.91, 1.65]]
19:17:27.903 XYZ [[0.0, 0.0, 0.0], [2.31, 6.18, 1.56], [2.32, 4.94, 1.45], [2.26, 2.77, 1.35], [2.3, 3.91, 1.66]]
19:17:27.986 XYZ [[0.0, 0.0, 0.0], [2.31, 6.2, 1.53], [2.32, 4.94, 1.46], [2.25, 2.77, 1.36], [2.3, 3.91, 1.67]]
19:17:28.070 XYZ [[0.0, 0.0, 0.0], [2.3, 6.21, 1.55], [2.33, 4.94, 1.45], [2.26, 2.78, 1.36], [2.3, 3.92, 1.67]]
19:17:28.153 XYZ [[0.0, 0.0, 0.0], [2.29, 6.22, 1.56], [2.32, 4.94, 1.44], [2.26, 2.78, 1.36], [2.3, 3.91, 1.64]]
19:17:28.237 XYZ [[0.0, 0.0, 0.0], [2.28, 6.21, 1.56], [2.32, 4.94, 1.45], [2.27, 2.78, 1.35], [2.3, 3.91, 1.64]]
19:17:28.320 XYZ [[0.0, 0.0, 0.0], [2.3, 6.22, 1.56], [2.33, 4.95, 1.45], [2.28, 2.78, 1.35], [2.3, 3.91, 1.64]]
19:17:28.404 XYZ [[0.0, 0.0, 0.0], [2.29, 6.22, 1.56], [2.33, 4.95, 1.44], [2.28, 2.77, 1.37], [2.29, 3.92, 1.63]]
19:17:28.487 XYZ [[0.0, 0.0, 0.0], [2.3, 6.21, 1.57], [2.33, 4.95, 1.45], [2.29, 2.77, 1.38], [2.29, 3.91, 1.64]]
19:17:28.571 XYZ [[0.0, 0.0, 0.0], [2.32, 6.21, 1.61], [2.31, 4.94, 1.44], [2.29, 2.77, 1.39], [2.29, 3.9, 1.64]]
19:17:28.654 XYZ [[0.0, 0.0, 0.0], [2.31, 6.2, 1.59], [2.31, 4.94, 1.43], [2.29, 2.78, 1.39], [2.3, 3.9, 1.64]]
19:17:28.738 XYZ [[0.0, 0.0, 0.0], [2.32, 6.23, 1.58], [2.32, 4.94, 1.43], [2.3, 2.78, 1.38], [2.29, 3.9, 1.64]]
