19:25:24.042 XYZ [[0.0, 0.0, 0.0], [2.31, 6.11, 1.37], [2.29, 4.92, 1.45], [2.39, 2.85, 1.08], [2.26, 3.87, 1.3]]
19:25:24.126 XYZ [[0.0, 0.0, 0.0], [2.31, 6.11, 1.37], [2.29, 4.92, 1.46], [2.41, 2.85, 1.07], [2.25, 3.88, 1.29]]
19:25:24.209 XYZ [[0.0, 0.0, 0.0], [2.32, 6.12, 1.38], [2.31, 4.92, 1.46], [2.44, 2.86, 1.05], [2.26, 3.9, 1.29]]
19:25:24.293 XYZ [[0.0, 0.0, 0.0], [2.33, 6.11, 1.39], [2.3, 4.92, 1.47], [2.46, 2.87, 1.05], [2.3, 3.91, 1.3]]
19:25:24.376 XYZ [[0.0, 0.0, 0.0], [2.36, 6.13, 1.43], [2.32, 4.92, 1.48], [2.48, 2.86, 1.06], [2.34, 3.92, 1.28]]
19:25:24.464 XYZ [[0.0, 0.0, 0.0], [2.36, 6.14, 1.43], [2.33, 4.92, 1.47], [2.5, 2.86, 1.06], [2.37, 3.91, 1.27]]
19:25:24.547 XYZ [[0.0, 0.0, 0.0], [2.38, 6.17, 1.41], [2.36, 4.93, 1.46], [2.54, 2.89, 1.07], [2.43, 3.92, 1.26]]
19:25:24.631 XYZ [[0.0, 0.0, 0.0], [2.4, 6.16, 1.42], [2.37, 4.94, 1.47], [2.57, 2.89, 1.09], [2.48, 3.93, 1.23]]
19:25:24.714 XYZ [[0.0, 0.0, 0.0], [2.45, 6.14, 1.44], [2.41, 4.94, 1.46], [2.59, 2.9, 1.1], [2.52, 3.94, 1.23]]
19:25:24.797 XYZ [[0.0, 0.0, 0.0], [2.46, 6.13, 1.45], [2.45, 4.95, 1.46], [2.62, 2.91, 1.11], [2.59, 3.93, 1.23]]
19:25:24.881 XYZ [[0.0, 0.0, 0.0], [2.54, 6.11, 1.48], [2.46, 4.95, 1.46], [2.66, 2.9, 1.12], [2.67, 3.95, 1.24]]
19:25:24.964 XYZ [[0.0, 0.0, 0.0], [2.58, 6.1, 1.5], [2.51, 4.97, 1.45], [2.73, 2.9, 1.16], [2.71, 3.94, 1.23]]
19:25:25.048 XYZ [[0.0, 0.0, 0.0], [2.66, 6.1, 1.51], [2.52, 4.97, 1.42], [2.77, 2.88, 1.2], [2.79, 3.94, 1.25]]
19:25:25.131 XYZ [[0.0, 0.0, 0.0], [2.72, 6.1, 1.53], [2.55, 4.95, 1.42], [2.8, 2.86, 1.25], [2.87, 3.94, 1.28]]
19:25:25.215 XYZ [[0.0, 0.0, 0.0], [2.75, 6.09, 1.52], [2.61, 4.94, 1.43], [2.8, 2.84, 1.28], [2.9, 3.94, 1.29]]
19:25:25.298 XYZ [[0.0, 0.0, 0.0], [2.83, 6.05, 1.54], [2.67, 4.92, 1.44], [2.85, 2.82, 1.33], [2.96, 3.94, 1.3]]
19:25:25.382 XYZ [[0.0, 0.0, 0.0], [2.86, 6.06, 1.54], [2.71, 4.91, 1.44], [2.9, 2.8, 1.37], [3.04, 3.93, 1.27]]
19:25:25.465 XYZ [[0.0, 0.0, 0.0], [2.89, 6.07, 1.55], [2.79, 4.91, 1.43], [2.92, 2.8, 1.39], [3.05, 3.93, 1.27]]
19:25:25.548 XYZ [[0.0, 0.0, 0.0], [2.93, 6.09, 1.58], [2.83, 4.91, 1.43], [3.01, 2.85, 1.42], [3.06, 3.88, 1.27]]
19:25:25.632 XYZ [[0.0, 0.0, 0.0], [2.94, 6.12, 1.65], [2.9, 4.92, 1.44], [3.05, 2.86, 1.45], [3.08, 3.86, 1.25]]
19:25:25.715 XYZ [[0.0, 0.0, 0.0], [2.97, 6.14, 1.68], [2.98, 4.93, 1.46], [3.09, 2.87, 1.44], [3.12, 3.83, 1.27]]
19:25:25.799 XYZ [[0.0, 0.0, 0.0], [3.03, 6.16, 1.74], [3.02, 4.93, 1.47], [3.16, 2.89, 1.46], [3.17, 3.82, 1.33]]
19:25:25.882 XYZ [[0.0, 0.0, 0.0], [3.11, 6.18, 1.79], [3.07, 4.98, 1.51], [3.21, 2.9, 1.46], [3.21, 3.82, 1.34]]
19:25:25.966 XYZ [[0.0, 0.0, 0.0], [3.14, 6.17, 1.81], [3.15, 5.02, 1.51], [3.23, 2.91, 1.46], [3.25, 3.83, 1.36]]
19:25:26.049 XYZ [[0.0, 0.0, 0.0], [3.21, 6.19, 1.86], [3.22, 5.04, 1.57], [3.28, 2.92, 1.47], [3.31, 3.84, 1.37]]
