20:03:22.274 XYZ [[2.9, -1.96, 1.24], [2.41, 4.69, 1.47], [0.47, 2.5, 1.39], [2.56, 3.22, 1.66], [0.0, 0.0, 0.0], [2.66, 0.06, 1.06], [0.0, 0.0, 0.0], [2.59, 4.25, 0.73], [0.31, 2.37, 1.28], [2.54, 3.44, 1.09]]
20:03:22.358 XYZ [[2.92, -1.96, 1.26], [2.44, 4.7, 1.43], [0.5, 2.47, 1.41], [2.54, 3.26, 1.68], [0.0, 0.0, 0.0], [2.65, 0.07, 1.06], [0.0, 0.0, 0.0], [2.6, 4.23, 0.72], [0.31, 2.32, 1.27], [2.63, 3.51, 1.16]]
20:03:22.441 XYZ [[2.87, -1.88, 1.22], [2.46, 4.72, 1.42], [0.56, 2.39, 1.43], [2.61, 3.3, 1.68], [0.0, 0.0, 0.0], [2.64, 0.09, 1.05], [0.0, 0.0, 0.0], [2.59, 4.22, 0.72], [0.3, 2.21, 1.31], [2.74, 3.61, 1.21]]
20:03:22.525 XYZ [[2.83, -1.74, 1.18], [2.49, 4.74, 1.41], [0.63, 2.3, 1.48], [2.67, 3.31, 1.65], [0.0, 0.0, 0.0], [2.64, 0.1, 1.05], [0.0, 0.0, 0.0], [2.59, 4.17, 0.71], [0.31, 2.13, 1.3], [2.78, 3.62, 1.22]]
20:03:22.608 XYZ [[2.81, -1.71, 1.2], [2.51, 4.75, 1.4], [0.65, 2.28, 1.46], [2.69, 3.33, 1.64], [0.0, 0.0, 0.0], [2.64, 0.12, 1.05], [0.0, 0.0, 0.0], [2.58, 4.16, 0.72], [0.32, 2.09, 1.28], [2.8, 3.62, 1.23]]
20:03:22.692 XYZ [[2.84, -1.62, 1.25], [2.54, 4.77, 1.42], [0.66, 2.25, 1.45], [2.7, 3.38, 1.63], [0.0, 0.0, 0.0], [2.62, 0.11, 1.07], [0.0, 0.0, 0.0], [2.58, 4.13, 0.71], [0.34, 1.99, 1.26], [2.83, 3.61, 1.24]]
20:03:22.775 XYZ [[2.87, -1.53, 1.27], [2.57, 4.81, 1.43], [0.67, 2.21, 1.44], [2.72, 3.39, 1.6], [0.0, 0.0, 0.0], [2.61, 0.13, 1.06], [0.0, 0.0, 0.0], [2.61, 4.1, 0.69], [0.36, 1.94, 1.27], [2.85, 3.63, 1.28]]
20:03:22.858 XYZ [[2.86, -1.43, 1.24], [2.51, 4.83, 1.4], [0.69, 2.16, 1.44], [2.75, 3.43, 1.56], [0.0, 0.0, 0.0], [2.59, 0.14, 1.06], [0.0, 0.0, 0.0], [2.61, 4.04, 0.7], [0.38, 1.89, 1.26], [2.87, 3.69, 1.31]]
20:03:22.942 XYZ [[2.87, -1.36, 1.23], [2.51, 4.83, 1.4], [0.71, 2.13, 1.43], [2.76, 3.44, 1.54], [0.0, 0.0, 0.0], [2.59, 0.14, 1.06], [0.0, 0.0, 0.0], [2.62, 4.0, 0.7], [0.39, 1.85, 1.26], [2.88, 3.72, 1.34]]
20:03:23.025 XYZ [[2.89, -1.37, 1.22], [2.46, 4.83, 1.43], [0.73, 2.11, 1.43], [2.76, 3.47, 1.54], [0.0, 0.0, 0.0], [2.58, 0.14, 1.07], [0.0, 0.0, 0.0], [2.63, 3.96, 0.69], [0.41, 1.82, 1.28], [2.89, 3.74, 1.36]]
