17:31:20.981 XYZ [[2.01, 1.88, 1.61], [4.57, 5.53, 1.79], [3.18, 6.13, 1.84], [0.99, 3.75, 1.65], [1.19, 2.64, 1.52], [0.84, 4.76, 1.46], [5.12, 2.82, 1.62], [4.73, 4.02, 1.91], [4.34, 1.96, 1.5], [1.81, 5.98, 1.6]]
17:31:21.065 XYZ [[2.0, 1.88, 1.62], [4.49, 5.5, 1.73], [3.18, 6.14, 1.85], [0.97, 3.75, 1.64], [1.21, 2.63, 1.49], [0.82, 4.75, 1.45], [5.13, 2.85, 1.6], [4.76, 4.05, 1.9], [4.33, 1.99, 1.51], [1.77, 5.95, 1.61]]
17:31:21.148 XYZ [[2.02, 1.86, 1.64], [4.53, 5.55, 1.87], [3.16, 6.15, 1.85], [0.95, 3.76, 1.64], [1.23, 2.64, 1.49], [0.81, 4.76, 1.45], [5.15, 2.84, 1.59], [4.76, 4.05, 1.91], [4.31, 2.02, 1.52], [1.78, 5.94, 1.62]]
17:31:21.231 XYZ [[2.03, 1.88, 1.64], [4.54, 5.56, 1.86], [3.16, 6.16, 1.87], [0.96, 3.76, 1.61], [1.22, 2.64, 1.47], [0.78, 4.75, 1.46], [5.23, 2.86, 1.64], [4.75, 4.05, 1.92], [4.32, 2.06, 1.54], [1.8, 5.94, 1.63]]
17:31:21.315 XYZ [[2.04, 1.88, 1.62], [4.56, 5.57, 1.85], [3.18, 6.16, 1.88], [0.97, 3.73, 1.58], [1.21, 2.63, 1.46], [0.78, 4.75, 1.44], [5.29, 2.9, 1.69], [4.74, 4.04, 1.92], [4.32, 2.07, 1.53], [1.8, 5.94, 1.62]]
17:31:21.402 XYZ [[2.07, 1.84, 1.59], [4.53, 5.53, 1.8], [3.14, 6.13, 1.82], [0.94, 3.69, 1.52], [1.18, 2.63, 1.42], [0.78, 4.74, 1.44], [5.33, 2.97, 1.71], [4.74, 4.04, 1.92], [4.31, 2.1, 1.53], [1.8, 5.94, 1.68]]
17:31:21.485 XYZ [[2.06, 1.87, 1.54], [4.52, 5.52, 1.81], [3.14, 6.13, 1.85], [0.95, 3.66, 1.54], [1.13, 2.66, 1.41], [0.79, 4.75, 1.41], [5.38, 3.06, 1.68], [4.68, 4.11, 1.96], [4.31, 2.11, 1.55], [1.81, 5.95, 1.69]]
17:31:21.569 XYZ [[2.07, 1.88, 1.53], [4.7, 5.35, 2.09], [3.14, 6.13, 1.85], [0.98, 3.62, 1.53], [1.1, 2.63, 1.42], [0.79, 4.76, 1.39], [5.38, 3.14, 1.66], [4.66, 4.14, 1.93], [4.35, 2.15, 1.56], [1.83, 5.95, 1.69]]
17:31:21.652 XYZ [[2.09, 1.89, 1.51], [4.71, 5.36, 2.1], [3.14, 6.13, 1.85], [0.97, 3.58, 1.52], [0.51, 2.37, 1.59], [0.78, 4.76, 1.37], [5.34, 3.17, 1.7], [4.67, 4.16, 1.94], [4.39, 2.21, 1.55], [1.79, 5.91, 1.71]]
17:31:21.736 XYZ [[2.12, 1.91, 1.5], [4.68, 5.38, 2.08], [3.14, 6.13, 1.85], [0.97, 3.56, 1.51], [0.65, 2.44, 1.55], [0.75, 4.75, 1.35], [5.33, 3.24, 1.68], [4.67, 4.17, 1.93], [4.39, 2.25, 1.57], [1.79, 5.9, 1.66]]
