19:04:11.063 XYZ [[2.01, 2.91, 1.11], [2.92, -1.43, 1.72], [3.62, 3.37, 1.39], [2.5, 4.28, 1.56], [1.47, 3.86, 1.63]]
19:04:11.146 XYZ [[2.0, 2.92, 1.09], [2.94, -1.41, 1.75], [3.64, 3.39, 1.41], [2.53, 4.28, 1.57], [1.43, 3.86, 1.62]]
19:04:11.230 XYZ [[1.99, 2.91, 1.12], [3.03, -1.4, 1.78], [3.63, 3.48, 1.32], [2.55, 4.26, 1.57], [1.4, 3.84, 1.63]]
19:04:11.313 XYZ [[1.98, 2.91, 1.12], [3.12, -1.27, 1.78], [3.61, 3.5, 1.29], [2.58, 4.25, 1.6], [1.39, 3.83, 1.63]]
19:04:11.397 XYZ [[1.96, 2.91, 1.15], [3.18, -1.19, 1.75], [3.6, 3.53, 1.3], [2.59, 4.24, 1.62], [1.37, 3.83, 1.63]]
19:04:11.480 XYZ [[1.94, 2.91, 1.17], [3.28, -1.1, 1.72], [3.57, 3.56, 1.31], [2.58, 4.26, 1.62], [1.36, 3.83, 1.63]]
19:04:11.564 XYZ [[1.91, 2.89, 1.16], [3.36, -1.08, 1.7], [3.53, 3.6, 1.31], [2.56, 4.26, 1.62], [1.33, 3.81, 1.62]]
19:04:11.647 XYZ [[1.91, 2.88, 1.16], [3.41, -1.08, 1.69], [3.4, 3.62, 1.28], [2.53, 4.27, 1.59], [1.37, 3.81, 1.6]]
19:04:11.731 XYZ [[1.89, 2.86, 1.15], [3.45, -1.12, 1.68], [3.33, 3.61, 1.3], [2.51, 4.26, 1.57], [1.4, 3.8, 1.59]]
19:04:11.814 XYZ [[1.88, 2.87, 1.16], [3.47, -1.11, 1.7], [3.32, 3.61, 1.31], [2.49, 4.27, 1.55], [1.42, 3.79, 1.59]]
19:04:11.898 XYZ [[1.92, 2.87, 1.14], [3.52, -1.09, 1.7], [3.25, 3.57, 1.33], [2.48, 4.27, 1.52], [1.49, 3.8, 1.56]]
19:04:11.981 XYZ [[1.93, 2.87, 1.17], [3.55, -1.08, 1.7], [3.17, 3.51, 1.38], [2.47, 4.26, 1.52], [1.52, 3.79, 1.54]]
19:04:12.065 XYZ [[1.94, 2.88, 1.17], [3.58, -1.06, 1.7], [3.14, 3.49, 1.4], [2.44, 4.27, 1.51], [1.53, 3.79, 1.54]]
19:04:12.148 XYZ [[1.94, 2.91, 1.21], [3.56, -1.06, 1.68], [3.11, 3.46, 1.4], [2.42, 4.28, 1.49], [1.56, 3.78, 1.52]]
19:04:12.232 XYZ [[1.95, 2.91, 1.23], [3.58, -1.09, 1.71], [3.08, 3.41, 1.42], [2.41, 4.28, 1.48], [1.57, 3.78, 1.52]]
19:04:12.315 XYZ [[1.96, 2.91, 1.24], [3.58, -1.05, 1.7], [3.05, 3.39, 1.43], [2.42, 4.29, 1.48], [1.58, 3.77, 1.56]]
19:04:12.398 XYZ [[1.98, 2.91, 1.25], [3.58, -1.04, 1.7], [3.04, 3.36, 1.43], [2.42, 4.28, 1.48], [1.56, 3.74, 1.53]]
19:04:12.482 XYZ [[1.99, 2.9, 1.25], [3.59, -1.03, 1.71], [3.05, 3.35, 1.45], [2.41, 4.28, 1.47], [1.53, 3.77, 1.53]]
19:04:12.565 XYZ [[2.0, 2.9, 1.27], [3.59, -1.05, 1.71], [3.05, 3.34, 1.44], [2.4, 4.27, 1.47], [1.5, 3.78, 1.55]]
19:04:12.649 XYZ [[2.02, 2.9, 1.28], [3.58, -1.09, 1.7], [3.04, 3.34, 1.42], [2.4, 4.28, 1.47], [1.46, 3.8, 1.54]]
19:04:12.732 XYZ [[2.05, 2.91, 1.28], [3.57, -1.11, 1.73], [3.02, 3.36, 1.42], [2.39, 4.31, 1.48], [1.46, 3.8, 1.53]]
19:04:12.816 XYZ [[2.07, 2.91, 1.29], [3.54, -1.13, 1.72], [3.02, 3.37, 1.4], [2.38, 4.31, 1.48], [1.44, 3.8, 1.55]]
19:04:12.899 XYZ [[2.08, 2.93, 1.31], [3.52, -1.22, 1.73], [3.01, 3.37, 1.4], [2.4, 4.31, 1.47], [1.46, 3.78, 1.55]]
19:04:12.983 XYZ [[2.08, 2.94, 1.3], [3.5, -1.22, 1.71], [2.99, 3.39, 1.37], [2.4, 4.31, 1.47], [1.49, 3.78, 1.57]]
19:04:13.066 XYZ [[2.09, 2.94, 1.3], [3.47, -1.2, 1.7], [3.01, 3.4, 1.37], [2.42, 4.31, 1.48], [1.52, 3.78, 1.58]]
