00:45:22.098 XYZ [[2.28, 3.34, 1.63], [1.05, 3.74, 1.65], [2.73, 3.36, 1.66], [1.65, 5.35, 1.74], [0.0, 0.0, 0.0], [0.74, 4.49, 1.57], [1.3, 5.61, 1.64], [3.16, 3.86, 1.76], [0.97, 4.85, 1.39], [3.05, 4.64, 1.75]]
00:45:22.182 XYZ [[2.27, 3.37, 1.63], [1.05, 3.74, 1.61], [2.72, 3.38, 1.67], [1.65, 5.33, 1.73], [0.0, 0.0, 0.0], [0.75, 4.41, 1.55], [1.28, 5.59, 1.66], [3.16, 3.85, 1.77], [1.0, 4.83, 1.32], [3.05, 4.63, 1.72]]
00:45:22.265 XYZ [[2.25, 3.39, 1.64], [1.04, 3.74, 1.61], [2.7, 3.39, 1.67], [1.63, 5.32, 1.73], [0.0, 0.0, 0.0], [0.76, 4.4, 1.54], [1.29, 5.58, 1.66], [3.16, 3.85, 1.76], [1.0, 4.83, 1.3], [3.05, 4.62, 1.71]]
00:45:22.349 XYZ [[2.22, 3.43, 1.64], [1.05, 3.74, 1.6], [2.7, 3.42, 1.65], [1.6, 5.34, 1.72], [0.0, 0.0, 0.0], [0.78, 4.35, 1.51], [1.29, 5.55, 1.63], [3.21, 3.82, 1.78], [1.01, 4.86, 1.29], [3.06, 4.62, 1.69]]
00:45:22.432 XYZ [[2.22, 3.45, 1.66], [1.08, 3.74, 1.56], [2.67, 3.45, 1.61], [1.64, 5.32, 1.71], [0.0, 0.0, 0.0], [0.72, 4.3, 1.49], [1.3, 5.54, 1.63], [3.2, 3.82, 1.77], [1.02, 4.87, 1.3], [3.08, 4.62, 1.66]]
00:45:22.516 XYZ [[2.2, 3.47, 1.66], [1.08, 3.74, 1.56], [2.64, 3.49, 1.6], [1.66, 5.3, 1.69], [0.0, 0.0, 0.0], [0.74, 4.28, 1.47], [1.29, 5.54, 1.6], [3.22, 3.79, 1.79], [1.04, 4.86, 1.27], [3.08, 4.59, 1.67]]
00:45:22.599 XYZ [[2.2, 3.48, 1.69], [1.1, 3.74, 1.5], [2.63, 3.54, 1.54], [1.66, 5.29, 1.68], [0.0, 0.0, 0.0], [0.75, 4.28, 1.43], [1.29, 5.54, 1.57], [3.23, 3.77, 1.75], [1.05, 4.85, 1.26], [3.08, 4.58, 1.66]]
00:45:22.682 XYZ [[2.17, 3.47, 1.73], [1.12, 3.72, 1.45], [2.61, 3.54, 1.51], [1.66, 5.3, 1.67], [0.0, 0.0, 0.0], [0.74, 4.34, 1.46], [1.28, 5.54, 1.54], [3.23, 3.76, 1.74], [1.06, 4.85, 1.25], [3.06, 4.55, 1.67]]
00:45:22.766 XYZ [[2.16, 3.47, 1.72], [1.12, 3.72, 1.45], [2.59, 3.54, 1.54], [1.7, 5.27, 1.62], [0.0, 0.0, 0.0], [0.75, 4.34, 1.47], [1.28, 5.56, 1.52], [3.23, 3.75, 1.71], [1.09, 4.82, 1.19], [3.05, 4.53, 1.66]]
00:45:22.849 XYZ [[2.16, 3.47, 1.72], [1.12, 3.72, 1.45], [2.59, 3.54, 1.54], [1.7, 5.27, 1.62], [0.0, 0.0, 0.0], [0.75, 4.34, 1.47], [1.28, 5.56, 1.52], [3.23, 3.75, 1.71], [1.09, 4.82, 1.19], [3.05, 4.52, 1.64]]
00:45:22.933 XYZ [[2.16, 3.47, 1.72], [1.12, 3.72, 1.45], [2.59, 3.54, 1.54], [1.7, 5.27, 1.62], [0.0, 0.0, 0.0], [0.75, 4.34, 1.47], [1.28, 5.56, 1.52], [3.23, 3.75, 1.71], [1.09, 4.82, 1.19], [3.05, 4.52, 1.64]]
00:45:23.016 XYZ [[2.15, 3.47, 1.73], [1.13, 3.71, 1.43], [2.59, 3.51, 1.52], [1.7, 5.26, 1.64], [0.0, 0.0, 0.0], [0.74, 4.35, 1.48], [1.26, 5.57, 1.53], [3.24, 3.73, 1.72], [1.09, 4.79, 1.17], [3.03, 4.5, 1.58]]
00:45:23.100 XYZ [[2.1, 3.47, 1.72], [1.13, 3.71, 1.43], [2.55, 3.37, 1.5], [1.71, 5.23, 1.67], [0.0, 0.0, 0.0], [0.77, 4.38, 1.49], [1.32, 5.62, 1.53], [3.27, 3.75, 1.81], [1.13, 4.75, 1.12], [3.02, 4.47, 1.56]]
00:45:23.183 XYZ [[2.09, 3.47, 1.72], [1.1, 3.73, 1.5], [2.5, 3.35, 1.45], [1.7, 5.22, 1.66], [0.0, 0.0, 0.0], [0.78, 4.37, 1.5], [1.34, 5.61, 1.51], [3.27, 3.73, 1.81], [1.14, 4.77, 1.13], [3.01, 4.45, 1.53]]
00:45:23.267 XYZ [[2.08, 3.5, 1.72], [1.1, 3.7, 1.58], [2.46, 3.34, 1.42], [1.73, 5.17, 1.68], [0.0, 0.0, 0.0], [0.78, 4.38, 1.51], [1.38, 5.59, 1.51], [3.22, 3.73, 1.84], [1.16, 4.8, 1.12], [3.03, 4.43, 1.47]]
00:45:23.350 XYZ [[2.08, 3.52, 1.71], [1.11, 3.7, 1.58], [2.43, 3.35, 1.36], [1.79, 5.14, 1.63], [0.0, 0.0, 0.0], [0.79, 4.37, 1.52], [1.4, 5.66, 1.57], [3.21, 3.74, 1.87], [1.15, 4.83, 1.11], [3.03, 4.42, 1.46]]
00:45:23.434 XYZ [[2.08, 3.57, 1.7], [1.1, 3.72, 1.61], [2.4, 3.32, 1.31], [1.8, 5.13, 1.63], [0.0, 0.0, 0.0], [0.74, 4.36, 1.57], [1.38, 5.69, 1.59], [3.16, 3.77, 1.87], [1.13, 4.9, 1.17], [3.04, 4.39, 1.47]]
00:45:23.517 XYZ [[2.07, 3.59, 1.69], [1.09, 3.73, 1.63], [2.39, 3.32, 1.29], [1.81, 5.11, 1.6], [0.0, 0.0, 0.0], [0.7, 4.36, 1.58], [1.4, 5.68, 1.61], [3.12, 3.78, 1.85], [1.09, 4.94, 1.18], [3.06, 4.37, 1.47]]
00:45:23.601 XYZ [[2.08, 3.64, 1.68], [1.09, 3.74, 1.65], [2.31, 3.31, 1.28], [1.8, 5.11, 1.59], [0.0, 0.0, 0.0], [0.65, 4.36, 1.58], [1.37, 5.61, 1.62], [3.07, 3.81, 1.86], [1.12, 4.97, 1.16], [3.07, 4.35, 1.47]]
00:45:23.684 XYZ [[2.07, 3.67, 1.68], [1.08, 3.74, 1.68], [2.26, 3.27, 1.31], [1.8, 5.13, 1.58], [0.0, 0.0, 0.0], [0.63, 4.34, 1.57], [1.38, 5.57, 1.59], [3.03, 3.83, 1.85], [1.15, 4.97, 1.18], [3.1, 4.31, 1.48]]
00:45:23.768 XYZ [[2.07, 3.7, 1.68], [1.07, 3.76, 1.69], [2.2, 3.25, 1.35], [1.8, 5.16, 1.55], [0.0, 0.0, 0.0], [0.59, 4.35, 1.55], [1.39, 5.53, 1.58], [2.97, 3.86, 1.85], [1.2, 4.93, 1.14], [3.13, 4.27, 1.5]]
00:45:23.853 XYZ [[2.09, 3.72, 1.67], [1.05, 3.76, 1.69], [2.11, 3.19, 1.37], [1.8, 5.21, 1.57], [0.0, 0.0, 0.0], [0.58, 4.35, 1.54], [1.39, 5.49, 1.57], [2.93, 3.83, 1.86], [1.18, 4.89, 1.11], [3.18, 4.23, 1.49]]
00:45:23.936 XYZ [[2.11, 3.74, 1.67], [1.03, 3.76, 1.69], [2.04, 3.13, 1.4], [1.79, 5.23, 1.56], [0.0, 0.0, 0.0], [0.54, 4.33, 1.52], [1.42, 5.48, 1.59], [2.81, 3.73, 1.8], [1.19, 4.88, 1.11], [3.2, 4.2, 1.47]]
00:45:24.019 XYZ [[2.11, 3.78, 1.66], [1.01, 3.74, 1.67], [2.01, 3.09, 1.42], [1.77, 5.25, 1.56], [0.0, 0.0, 0.0], [0.53, 4.35, 1.51], [1.43, 5.47, 1.59], [2.75, 3.71, 1.78], [1.21, 4.89, 1.17], [3.25, 4.14, 1.46]]
00:45:24.103 XYZ [[2.11, 3.81, 1.66], [1.02, 3.75, 1.64], [1.91, 3.09, 1.45], [1.77, 5.25, 1.56], [0.0, 0.0, 0.0], [0.49, 4.38, 1.5], [1.43, 5.47, 1.59], [2.66, 3.67, 1.75], [1.16, 4.96, 1.22], [3.25, 4.14, 1.46]]
