18:14:21.131 XYZ [[-0.69, 4.9, 0.18], [1.72, 3.12, 0.95], [4.93, 5.05, 1.79], [3.61, 6.08, 2.05], [5.84, 4.58, -3.31], [1.67, 4.3, 1.51], [2.39, 5.82, 1.65], [3.17, 2.87, 1.66], [4.52, 5.51, 1.55], [4.61, 3.41, 2.03]]
18:14:21.214 XYZ [[-1.44, 4.95, -0.07], [1.74, 3.11, 0.95], [4.9, 5.05, 1.8], [3.61, 6.08, 2.04], [5.64, 4.58, -2.38], [1.67, 4.29, 1.51], [2.37, 5.83, 1.68], [3.11, 2.85, 1.65], [4.45, 5.58, 1.59], [4.59, 3.39, 2.08]]
18:14:21.298 XYZ [[-1.8, 5.02, -0.31], [1.73, 3.12, 0.95], [4.85, 5.03, 1.79], [3.62, 6.08, 2.04], [5.33, 4.11, -1.67], [1.67, 4.29, 1.51], [2.39, 5.84, 1.69], [3.13, 2.85, 1.63], [4.44, 5.57, 1.61], [4.58, 3.38, 2.07]]
18:14:21.381 XYZ [[-5.62, -7.49, 1.06], [1.72, 3.12, 0.94], [4.84, 5.02, 1.75], [3.63, 6.08, 2.03], [5.73, 4.08, -1.85], [1.66, 4.27, 1.54], [2.4, 5.84, 1.72], [3.13, 2.85, 1.63], [4.43, 5.58, 1.59], [4.59, 3.38, 2.07]]
18:14:21.465 XYZ [[-2.29, 13.63, -23.81], [1.71, 3.11, 0.94], [4.84, 5.01, 1.74], [3.64, 6.09, 2.03], [5.75, 4.06, -1.58], [1.65, 4.26, 1.55], [2.42, 5.85, 1.75], [3.14, 2.88, 1.62], [4.37, 5.62, 1.58], [4.59, 3.38, 2.09]]
18:14:21.548 XYZ [[-3.46, 11.59, -24.77], [1.71, 3.09, 0.94], [4.78, 5.01, 1.74], [3.66, 6.11, 2.04], [6.1, 4.3, -1.5], [1.64, 4.26, 1.54], [2.45, 5.86, 1.78], [3.12, 2.92, 1.57], [4.33, 5.64, 1.61], [4.59, 3.39, 2.06]]
18:14:21.632 XYZ [[-4.54, 7.71, -25.68], [1.69, 3.06, 0.96], [4.77, 5.01, 1.71], [3.67, 6.1, 2.01], [6.58, 4.46, -1.97], [1.65, 4.26, 1.54], [2.47, 5.84, 1.78], [3.1, 2.9, 1.56], [4.3, 5.68, 1.63], [4.59, 3.4, 2.03]]
18:14:21.715 XYZ [[-6.5, 7.37, -25.35], [1.68, 3.06, 0.97], [4.76, 5.02, 1.71], [3.7, 6.11, 1.98], [7.25, 4.43, -2.14], [1.65, 4.26, 1.54], [2.52, 5.83, 1.82], [3.13, 2.92, 1.5], [4.28, 5.72, 1.65], [4.59, 3.41, 2.02]]
18:14:21.799 XYZ [[-6.29, 8.01, -25.53], [1.64, 3.05, 0.97], [4.7, 5.04, 1.72], [3.69, 6.1, 1.98], [7.4, 4.64, -2.29], [1.65, 4.26, 1.54], [2.51, 5.81, 1.83], [3.14, 2.96, 1.51], [4.28, 5.74, 1.65], [4.6, 3.41, 2.03]]
18:14:21.882 XYZ [[-6.72, 8.6, -25.01], [1.61, 3.05, 0.97], [4.67, 5.04, 1.74], [3.71, 6.1, 1.98], [0.0, 0.0, -0.0], [1.65, 4.26, 1.54], [2.53, 5.82, 1.84], [3.15, 2.96, 1.49], [4.27, 5.75, 1.64], [4.61, 3.42, 2.02]]
18:14:21.966 XYZ [[-6.95, 8.48, -24.91], [1.59, 3.04, 0.97], [4.66, 5.04, 1.74], [3.73, 6.11, 1.98], [-4.61, -4.39, 0.23], [1.65, 4.26, 1.54], [2.51, 5.83, 1.85], [3.19, 2.98, 1.48], [4.26, 5.76, 1.64], [4.62, 3.42, 2.02]]
18:14:22.049 XYZ [[-5.81, 8.79, -25.09], [1.62, 3.05, 0.99], [4.74, 4.99, 1.81], [3.75, 6.12, 1.97], [-58.12, -56.23, -7.63], [1.54, 4.25, 1.55], [2.53, 5.84, 1.84], [3.18, 2.94, 1.43], [4.24, 5.75, 1.65], [4.59, 3.42, 1.99]]
