19:02:23.717 XYZ [[2.51, 4.67, 1.48], [2.72, -0.78, 1.43], [3.3, 4.13, 1.66], [1.72, 2.73, 1.48], [1.58, 4.09, 1.55]]
19:02:23.800 XYZ [[2.57, 4.68, 1.49], [2.72, -0.79, 1.43], [3.3, 4.13, 1.66], [1.71, 2.75, 1.48], [1.57, 4.09, 1.58]]
19:02:23.884 XYZ [[2.63, 4.69, 1.51], [2.73, -0.81, 1.44], [3.31, 4.13, 1.67], [1.72, 2.75, 1.47], [1.55, 4.1, 1.6]]
19:02:23.967 XYZ [[2.65, 4.7, 1.52], [2.73, -0.81, 1.44], [3.31, 4.12, 1.66], [1.72, 2.75, 1.48], [1.54, 4.1, 1.6]]
19:02:24.051 XYZ [[2.71, 4.69, 1.54], [2.73, -0.84, 1.44], [3.32, 4.12, 1.65], [1.72, 2.75, 1.48], [1.54, 4.1, 1.59]]
19:02:24.134 XYZ [[2.76, 4.7, 1.58], [2.72, -0.83, 1.44], [3.32, 4.12, 1.63], [1.7, 2.74, 1.47], [1.55, 4.1, 1.59]]
19:02:24.218 XYZ [[2.77, 4.69, 1.58], [2.72, -0.84, 1.43], [3.35, 4.12, 1.62], [1.7, 2.72, 1.45], [1.59, 4.1, 1.58]]
19:02:24.301 XYZ [[2.79, 4.68, 1.59], [2.71, -0.84, 1.43], [3.35, 4.11, 1.61], [1.7, 2.75, 1.44], [1.6, 4.1, 1.58]]
19:02:24.384 XYZ [[2.83, 4.67, 1.61], [2.71, -0.85, 1.44], [3.36, 4.12, 1.58], [1.68, 2.76, 1.44], [1.63, 4.1, 1.55]]
19:02:24.468 XYZ [[2.82, 4.66, 1.61], [2.71, -0.84, 1.43], [3.37, 4.09, 1.57], [1.66, 2.78, 1.45], [1.64, 4.1, 1.53]]
19:02:24.551 XYZ [[2.83, 4.65, 1.6], [2.7, -0.84, 1.44], [3.38, 4.08, 1.55], [1.64, 2.81, 1.46], [1.64, 4.1, 1.52]]
19:02:24.635 XYZ [[2.81, 4.62, 1.6], [2.7, -0.84, 1.44], [3.4, 4.06, 1.56], [1.66, 2.83, 1.48], [1.64, 4.11, 1.5]]
19:02:24.718 XYZ [[2.8, 4.61, 1.6], [2.69, -0.84, 1.43], [3.42, 4.06, 1.56], [1.65, 2.83, 1.48], [1.66, 4.1, 1.49]]
19:02:24.802 XYZ [[2.76, 4.6, 1.58], [2.69, -0.83, 1.44], [3.47, 4.04, 1.56], [1.65, 2.85, 1.47], [1.67, 4.1, 1.5]]
19:02:24.885 XYZ [[2.73, 4.58, 1.57], [2.7, -0.84, 1.44], [3.45, 4.03, 1.55], [1.67, 2.87, 1.46], [1.65, 4.1, 1.49]]
19:02:24.969 XYZ [[2.73, 4.57, 1.56], [2.69, -0.84, 1.44], [3.44, 4.04, 1.52], [1.67, 2.89, 1.44], [1.65, 4.1, 1.49]]
19:02:25.052 XYZ [[2.65, 4.59, 1.53], [2.69, -0.86, 1.44], [3.45, 4.04, 1.51], [1.67, 2.91, 1.43], [1.65, 4.11, 1.5]]
19:02:25.136 XYZ [[2.57, 4.61, 1.55], [2.69, -0.85, 1.44], [3.45, 4.05, 1.49], [1.67, 2.92, 1.44], [1.64, 4.12, 1.5]]
19:02:25.220 XYZ [[2.54, 4.62, 1.53], [2.7, -0.83, 1.43], [3.44, 4.06, 1.47], [1.68, 2.92, 1.44], [1.64, 4.13, 1.49]]
19:02:25.303 XYZ [[2.5, 4.62, 1.54], [2.7, -0.83, 1.43], [3.44, 4.06, 1.48], [1.73, 2.9, 1.42], [1.65, 4.14, 1.5]]
19:02:25.387 XYZ [[2.47, 4.64, 1.55], [2.71, -0.83, 1.42], [3.43, 4.06, 1.46], [1.78, 2.91, 1.41], [1.67, 4.14, 1.49]]
19:02:25.470 XYZ [[2.44, 4.64, 1.53], [2.71, -0.83, 1.42], [3.41, 4.04, 1.46], [1.8, 2.92, 1.4], [1.67, 4.14, 1.5]]
19:02:25.554 XYZ [[2.43, 4.64, 1.54], [2.71, -0.82, 1.41], [3.4, 4.04, 1.46], [1.84, 2.93, 1.39], [1.68, 4.15, 1.51]]
19:02:25.637 XYZ [[2.41, 4.62, 1.52], [2.71, -0.82, 1.41], [3.41, 4.05, 1.47], [1.89, 2.94, 1.41], [1.72, 4.17, 1.52]]
19:02:25.720 XYZ [[2.42, 4.61, 1.49], [2.72, -0.84, 1.4], [3.4, 4.07, 1.48], [1.92, 2.94, 1.41], [1.74, 4.18, 1.51]]
19:02:25.804 XYZ [[2.43, 4.6, 1.5], [2.74, -0.88, 1.41], [3.39, 4.08, 1.49], [1.94, 2.95, 1.41], [1.75, 4.19, 1.52]]
19:02:25.887 XYZ [[2.44, 4.59, 1.48], [2.74, -0.89, 1.41], [3.41, 4.09, 1.52], [1.97, 2.95, 1.4], [1.77, 4.19, 1.52]]
19:02:25.971 XYZ [[2.45, 4.58, 1.47], [2.73, -0.92, 1.37], [3.41, 4.09, 1.49], [1.98, 2.96, 1.4], [1.79, 4.18, 1.51]]
19:02:26.054 XYZ [[2.47, 4.57, 1.44], [2.75, -0.96, 1.39], [3.4, 4.1, 1.47], [2.0, 2.97, 1.39], [1.78, 4.18, 1.51]]
