frame,type,psi
247,Unfiltered,-6.425749792889867
247,Filtered,-5.469050202323082
248,Unfiltered,-6.805716880838112
248,Filtered,-5.584810205203414
249,Unfiltered,-7.231410596710713
249,Filtered,-5.7029780838697075
250,Unfiltered,-6.010201463241239
250,Filtered,-5.78787102440671
251,Unfiltered,-5.91444434535551
251,Filtered,-5.825268411700007
252,Unfiltered,-5.839383270880092
252,Filtered,-5.839869146339231
253,Unfiltered,-5.737284055007337
253,Filtered,-5.839869146339231
254,Unfiltered,-5.620627038627417
254,Filtered,-5.839869146339231
255,Unfiltered,-5.594184405095564
255,Filtered,-5.839869146339231
256,Unfiltered,-5.815862935168403
256,Filtered,-5.839869146339231
257,Unfiltered,-6.0127314485598715
257,Filtered,-5.846859487431608
258,Unfiltered,-6.1000215197496015
258,Filtered,-5.88390414921018
259,Unfiltered,-6.187366769349405
259,Filtered,-5.932467507847967
260,Unfiltered,-6.2921452579614545
260,Filtered,-5.95402929967422
261,Unfiltered,-6.571985922656728
261,Filtered,-5.960305694318457
262,Unfiltered,-6.90080346885168
262,Filtered,-5.986622461435068
263,Unfiltered,-7.384224805158
263,Filtered,-6.011466455900555
264,Unfiltered,-7.805517432701684
264,Filtered,-6.035937833397622
265,Unfiltered,-8.676871203227224
265,Filtered,-6.0748102441419345
266,Unfiltered,-7.602218188527107
266,Filtered,-6.095248894899049
267,Unfiltered,-7.5755516024322525
267,Filtered,-6.128104042898045
268,Unfiltered,-7.507642940556893
268,Filtered,-6.171776667697946
269,Unfiltered,-7.395435637643576
269,Filtered,-6.188216025905476
270,Unfiltered,-7.296421909753002
270,Filtered,-6.210697027387029
271,Unfiltered,-7.178321449343405
271,Filtered,-6.2401988167592215
272,Unfiltered,-7.08512901872994
272,Filtered,-6.251813165446979
273,Unfiltered,-7.00231475516572
273,Filtered,-6.25584255683909
274,Unfiltered,-6.847470785667834
274,Filtered,-6.262129887302046
275,Unfiltered,-6.62506870227689
275,Filtered,-6.280138694287697
276,Unfiltered,-6.515978086226736
276,Filtered,-6.298222317250449
277,Unfiltered,-6.483651251423234
277,Filtered,-6.324314695490903
278,Unfiltered,-6.424001639563766
278,Filtered,-6.3572376916616875
279,Unfiltered,-6.406608429631483
279,Filtered,-6.387528876750778
280,Unfiltered,-6.417504316354626
280,Filtered,-6.405760407126014
281,Unfiltered,-6.435990274224551
281,Filtered,-6.412056372993055
282,Unfiltered,-6.451607148145478
282,Filtered,-6.4207529779591965
283,Unfiltered,-6.490947351176446
283,Filtered,-6.424875716226817
284,Unfiltered,-6.579696241576474
284,Filtered,-6.430870033557209
285,Unfiltered,-6.627538762452382
285,Filtered,-6.443798711185014
286,Unfiltered,-6.599779193204558
286,Filtered,-6.4523779655924205
287,Unfiltered,-6.565690097917765
287,Filtered,-6.458650053508702
288,Unfiltered,-6.481646025934635
288,Filtered,-6.472898674956338
289,Unfiltered,-6.339263093337718
289,Filtered,-6.472898674956338
290,Unfiltered,-6.187908041480355
290,Filtered,-6.472898674956338
291,Unfiltered,-6.044009812736272
291,Filtered,-6.4673974044869995
292,Unfiltered,-5.889432519399056
292,Filtered,-6.4523779655924205
293,Unfiltered,-5.745913573166138
293,Filtered,-6.443798711185014
294,Unfiltered,-5.578499933419859
294,Filtered,-6.430870033557209
295,Unfiltered,-5.4203891672791755
295,Filtered,-6.424875716226817
296,Unfiltered,-5.331898904663488
296,Filtered,-6.4207529779591965
297,Unfiltered,-5.323328809577324
297,Filtered,-6.412056372993055
298,Unfiltered,-5.571312955764348
298,Filtered,-6.412056372993055
299,Unfiltered,-6.0090731291813135
299,Filtered,-6.412056372993055
300,Unfiltered,-6.249791007525679
300,Filtered,-6.412056372993055
301,Unfiltered,-6.366977433894691
301,Filtered,-6.412056372993055
302,Unfiltered,-6.327457408373855
302,Filtered,-6.412056372993055
303,Unfiltered,-6.234455271663245
303,Filtered,-6.412056372993055
304,Unfiltered,-6.117468591564247
304,Filtered,-6.412056372993055
305,Unfiltered,-6.021495654384577
305,Filtered,-6.412056372993055
306,Unfiltered,-5.908449210939195
306,Filtered,-6.412056372993055
307,Unfiltered,-5.7866490376249775
307,Filtered,-6.386792931763087
308,Unfiltered,-5.668287286918321
308,Filtered,-6.353120263616205
309,Unfiltered,-5.5419185503840955
309,Filtered,-6.333360250855787
310,Unfiltered,-5.396878534653581
310,Filtered,-6.333360250855787
311,Unfiltered,-5.26220837223573
311,Filtered,-6.333360250855787
312,Unfiltered,-5.130383280306067
312,Filtered,-6.333360250855787
313,Unfiltered,-4.987453233263368
313,Filtered,-6.333360250855787
314,Unfiltered,-4.821886077514929
314,Filtered,-6.333360250855787
315,Unfiltered,-4.598138149720117
315,Filtered,-6.333360250855787
316,Unfiltered,-4.357615712022153
316,Filtered,-6.333360250855787
317,Unfiltered,-4.076899081765566
317,Filtered,-6.333360250855787
