,Participant Public ID,Response,Absolute Reaction Time, Emergence,Group,Segment
92,5e6627a7ef80c639ac28b01a,3,30349.6729999522,-14.92014022,B_5,20
93,5e6627a7ef80c639ac28b01a,2,17893.219,-4.553773188,A_5,8
94,5e6627a7ef80c639ac28b01a,3,25338.7479999046,-7.080573654,B_4,20
95,5e6627a7ef80c639ac28b01a,4,12663.8799999998,-8.714994139,B_3,6
96,5e6627a7ef80c639ac28b01a,2,15261.7700000002,-11.06296924,B_8,12
97,5e6627a7ef80c639ac28b01a,6,19909.6579999998,2.025423219,A_6,17
98,5e6627a7ef80c639ac28b01a,2,19369.4439998569,-0.202111392,A_8,8
99,5e6627a7ef80c639ac28b01a,3,46388.0420000001,-12.1998625,A_6,8
100,5e6627a7ef80c639ac28b01a,4,25902.3799998092,-19.66253466,B_5,8
101,5e6627a7ef80c639ac28b01a,6,7405.89599999995,-4.344055274,B_4,35
102,5e6627a7ef80c639ac28b01a,5,30490.1099999998,-3.700926975,B_6,18
103,5e6627a7ef80c639ac28b01a,3,30036.9349998093,-2.505374073,B_8,14
104,5e6627a7ef80c639ac28b01a,3,5522.12899990472,-3.046327915,A_9,9
105,5e6627a7ef80c639ac28b01a,3,36374.9600000001,-5.261540721,B_4,22
106,5e6627a7ef80c639ac28b01a,3,22980.1609998568,-8.905551748,A_9,19
107,5e6627a7ef80c639ac28b01a,3,7083.46099985693,-7.710695711,B_8,11
108,5e6627a7ef80c639ac28b01a,7,9051.01199980918,1.268555424,B_7,9
109,5e6627a7ef80c639ac28b01a,7,10237.1019999999,-7.769114007,B_9,8
110,5e6627a7ef80c639ac28b01a,3,13082.8269999045,-9.00037579,B_1,7
111,5e6627a7ef80c639ac28b01a,3,4394.14399985689,-26.30529971,B_5,10
112,5e6627a7ef80c639ac28b01a,4,4972.78699995251,-9.16313723,A_9,28
113,5e6627a7ef80c639ac28b01a,6,7270.96799985691,-13.53065241,A_2,20
114,5e6627a7ef80c639ac28b01a,5,6368.5520000006,-3.460485893,B_4,28
115,5e6627a7ef80c639ac28b01a,6,8625.61999999964,-5.466241554,B_9,5
116,5e6627a7ef80c639ac28b01a,6,9835.05599980941,-5.023634767,B_8,21
117,5e6627a7ef80c639ac28b01a,4,7203.20099990442,-0.325741096,A_4,4
118,5e6627a7ef80c639ac28b01a,4,41837.6269999523,-1.183427589,A_9,10
119,5e6627a7ef80c639ac28b01a,4,8530.92599990451,-4.177645817,A_8,24
120,5e6627a7ef80c639ac28b01a,4,17285.0089999521,-7.781508358,B_5,4
121,5e6627a7ef80c639ac28b01a,3,23452.9969999995,-6.888833045,B_4,17
122,5e6627a7ef80c639ac28b01a,2,36933.357999857,-5.083823776,B_6,8
123,5e6627a7ef80c639ac28b01a,2,19306.9280000003,-1.498203057,B_6,1
124,5e6627a7ef80c639ac28b01a,2,13654.3189999046,-4.759291057,B_4,13
