Group,Segment,mean_psi,std_psi,mean_dist_cmass,std_mean_dist_cmass,mean_dist_nearest,std_mean_dist_nearest,var_angle,std_var_angle,vicsek_order,std_vicsek_order,Manual,Emerged,mean_beauty,std_mean_beauty
A_2,20,-13.589377002600296,3.878988686780594,0.24121334017026103,0.011858930670073412,0.13882902601612118,0.02387204096724169,1.9183144340725813,1.5590424389209026,0.5594851248185431,0.11237486875604798,1,0,4.340909090909091,2.067952383714572
A_2,21,-14.504476179340104,1.7154514789218942,0.2956001022702192,0.01658940368903662,0.132139580387354,0.01652007881762695,5.686185419045747,5.600519896196515,0.46630759528302584,0.1749018067862494,1,0,3.25,1.4487364181597442
A_2,22,-8.609321252629835,3.9303660701085725,0.30513509011671114,0.021918462225457524,0.14113030231834503,0.0071986707510861316,6.429025501705629,3.2721421443265086,0.25346169990163536,0.1084639067083304,1,0,4.136363636363637,1.8247766233592984
A_3,1,-2.4599403017431567,2.219509625801466,0.24240849326215433,0.007609104637324113,0.12858427337035125,0.00927375954870606,7.272434388786957,3.0956081179153023,0.11391382707636785,0.05317586800678024,0,1,6.0227272727272725,1.8737927755625825
A_3,2,-0.35733531324028445,1.8666355846427127,0.2177021348193253,0.0092818734024216,0.11778318040679413,0.004962498920894406,4.895305471104859,2.787533969134662,0.10191549895220417,0.049746749354752526,0,1,6.795454545454546,1.8749207171398619
A_4,1,-2.4591229551878433,1.935310771896151,0.31631808977755965,0.016028975321177287,0.17648768072383245,0.014491756687751727,5.653186582575205,3.3623461718400285,0.19834979553483162,0.09527070295946617,0,1,3.5681818181818183,1.8726641546045582
A_4,2,-2.6810674950583357,1.753955824688658,0.2643023781864012,0.024944068680274427,0.15237724890825038,0.01263316593215275,5.325548263049094,3.678494911098493,0.2502833767951007,0.12607305145678377,0,1,3.2045454545454546,1.7196476850438094
A_4,3,-2.5917181134811975,1.096123428694,0.2772064386753898,0.01698295160820675,0.15865635594492652,0.011813751606062475,4.5341637379494335,3.7782272837872837,0.32119281739150973,0.19155675263182467,0,1,3.4545454545454546,1.7043657410547723
A_4,4,-0.2454891662625992,2.7252100833389514,0.2972423884970086,0.012260394202749467,0.1917199906486661,0.021104315746186368,5.950036041344288,3.4385791534441106,0.19585983518089878,0.0969334149125602,0,1,3.3181818181818183,1.7754492032018563
A_5,1,-5.89160548234988,1.640400397933566,0.2583796300348899,0.04514878722572157,0.1518401151756096,0.02514266388241416,5.8724213718070395,4.281915931119894,0.3960326002837912,0.164429446393174,1,0,4.090909090909091,2.043915324079854
A_5,2,-5.527096190332213,1.3122451552132148,0.29998679557569297,0.03520314690289219,0.17753864442854225,0.00840800687620279,6.444489237459454,4.53534633250544,0.23112962852996943,0.12869863383170335,1,0,3.75,1.699863195589848
A_5,3,-3.5019342265510205,1.5407388873841354,0.2359177064620759,0.026136317450042985,0.14339686782322486,0.019024309338799564,3.6091911041634273,2.6289394981383887,0.3275785989042466,0.14843236546300975,1,0,3.4318181818181817,1.7035902891100623
A_5,4,-7.66082045802529,3.0435670914129966,0.2519182213139046,0.0206616065509275,0.14681142226692176,0.016215688414073094,5.406073418111845,4.773267838822866,0.5531210379744558,0.12146032889697966,1,0,3.977272727272727,1.7585490367310597
